linewindow#0,"""Lock-On"""
text00#0,"""Lock-On"""
text01#0,"""ผมจะอธิบายเกี่ยวกับการ \""ล็อค\"""""
text02#0,"""กดปุ่ม <%LockOn> เพื่อล็อคมุมมองเข้ากับเป้าหมายข้างหน้าท่านเพื่อทำให้โจมตีได้ง่ายขึ้น<br>กดปุ่ม <%LockOn> อีกครั้งเพื่อยกเลิกการล็อคมุมมอง"""
text03#0,"""กดปุ่ม <%LockOn> ค้างเพื่อล็อคมุมมองเข้ากับเป้าหมายข้างหน้าท่านเพื่อทำให้โจมตีได้ง่ายขึ้น<br>ปล่อยปุ่ม <%LockOn> เพื่อยกเลิกการล็อคมุมมอง"""
text04#0,"""ไปที่หน้าต่างควมคุมในเมนูตัวเลือก<br>เพื่อเลือกการใช้งานการล็อคมุมมองโดยการกด <%LockOn> ครั้งเดียว<br>หรือกด <%LockOn> ค้าง"""
linewindow#1,"""<br>『ロックオン』について<br>"""
text00#1,"""『ロックオン』について"""
text01#1,"""「ロックオン」について説明します。"""
text02#1,"""<%LockOn>を押すことで正面にいる攻撃対象に対して<br>常に画面内に捉えて攻撃しやすくなります。<br>ロックオンを解除するには<%LockOn>を<br>もう一度押すことで解除可能です。"""
text03#1,"""<%LockOn>を押し続けることで正面にいる攻撃対象に対して<br>常に画面内に捉えて攻撃しやすくなります。<br><%LockOn>を離すとロックオンを解除できます。<br><br><yellow>※パッド操作のみ<c><br>攻撃対象が複数存在する場合<br>ロックオン中に右スティックを任意の方向に<br>入力することで、ロックオン対象を<br>切り替えることが可能です。"""
text04#1,"""一度押すだけでロックオンするか<br>長押し（ホールド）でロックオンするかは<br>オプションの操作変更画面から設定が変えられます。"""
