11_voice_NPC_5001_100#0,"""เอาล่ะ นั่นคือสรุปคำร้องที่ข้ามีให้ท่าน"""
text02#0,"""ท่านจะไปตอนนี้เลยเหรอ? <br>นี่คือขั้นตอนปกติของการทำ Client Order"""
text03#0,"""ตอนนี้ท่านจงไปรับคำร้องต่างๆด้วยตัวของท่านเอง"""
text04#0,"""ถ้าท่านได้คำร้องที่ดูจะยากไป <br>แค่นำไปใส่ใน Back burner จนกระทั่ง<br>พร้อมค่อยไปทำ"""
text05#0,"""ขณะที่เราคุยกันอยู่ นี่คือ Partner Card ของข้า<br>ถ้าท่านต้องการความช่วยเหลือ รีบเรียกข้าเลย โอเคนะ?"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Zeno มาเป็นพาร์ทเนอร์ได้แล้วได้"""
11_voice_NPC_5001_100#1,"""よし、んじゃこれで<br>俺からの依頼は完了、ってことで。"""
text02#1,"""どうだ、ちょっとは参考になったか？<br>これがクライアントオーダーの流れだ。"""
text03#1,"""これからは、一人でこういう依頼を<br>受けてはこなしてって<br>繰り返していくんだぜ。"""
text04#1,"""ま、キツイと思ったら後回しとか<br>上手い具合に立ち回っていけよ。<br>無理や無茶は命取りだからな。"""
text05#1,"""丁度良いから、俺のパートナーカードも<br>渡しとくよ。どうしようもない時とか<br>頼ってくれて、構わないぜ？"""
linewindow001#1,"""<br>ゼノをパートナーとして呼べるようになりました。<br>"""
