name01#0,"""普林"""
11_voice_NPC_5082_104#0,"""<%me>閣下。<br>你辛苦了。<br>我是管理員普林。"""
text02#0,"""接到上面下達ARKS要更強化的<br>命令<br>已建立ARKS訓練用設施。"""
text03#0,"""一天只能挑戰一次<br>請活用鍛練。"""
text04#0,"""那麼，以後也<br>請多指教。"""
name01#1,"""プリン"""
11_voice_NPC_5082_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のプリンです。"""
text02#1,"""アークスの更なる強化が必要と<br>上からお達しがあったため<br>アークス訓練用施設が作成されました。"""
text03#1,"""一日一回しかチャレンジできませんが<br>鍛錬に活用してみてください。"""
text04#1,"""では、今後とも<br>よろしくお願いします。"""
linewindow#0,"""<br>關於『現狀』<br>"""
text00#0,"""關於『現狀』"""
text01#0,"""關於『現狀』的說明。<br><br><br>在行星間航行中的營地小船<br>因為突然出現的達卡被迫轉向。<br>因此，營地小船遭受破壞導致功能停止。<br>好不容易才恢復通信<br>救助艦正前往執行救援。"""
text02#2,"""但，只有最後面區域的回收點數才能<br>執行救助艦傳送。<br>此外，船艦可以停留的時間有限。<br>請在限制時間以內到達。<br><br>另外，由於不能分析所在的位置，<br>所以無法確認『任務資訊』。"""
linewindow#1,"""<br>『現状』について<br>"""
text00#1,"""『現状』について"""
text01#1,"""『現状』について説明します。<br><br><br>惑星間を航行中であったキャンプシップが<br>突如出現したダーカーにより、強引な転送を受けました。<br>これにより、キャンプシップは大破し、機能を停止。<br>かろうじて繋がった通信を受け<br>救助艦が回収に向かっています。"""
text02#3,"""ただし、救助艦への転送が行えるのは<br>最奥エリアの回収ポイントだけです。<br>また、艦が滞在できる時間も限られています。<br>制限時間以内の到達を目指してください。<br><br>なお、所在の解析を阻まれているため<br>『クエスト情報』を確認することはできません。"""
