text01001#0,"""Hiya!<br>You're with ARKS, yeah?"""
text01002#0,"""Hmm, mmhmm, yeah, you pass!"""
text01003#0,"""Oh, uh, sorry.<br>My name's Shea."""
text01004#0,"""I could use your help.<br>Will you hear me out?"""
text02001#0,"""How are you progressing?<br>I'll wait as long as it takes!"""
text03001#0,"""Thanks!<br>With your help,<br>Founder's Day turned out great!"""
text03002#0,"""Everyone's smiling, thanks to you!<br>Thank you so much!"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
text01002#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
text02001#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""ありがとうねっ！<br>貴方のおかげで<br>華やかな建国記念日になったと思う！"""
text03002#1,"""みんなの笑顔も、貴方のおかげだよ！<br>ほんとうに、ありがとう！"""
