line01#0,"""4択クイズ、開始！<br>（全2問）"""
name010#0,"""나즌"""
text010#0,"""\\クイズ会場が解放されましたね！<br>それでは、<red>この류커 디바이스どこでしょうクイズ<c><br>スタートです！"""
text020#0,"""\\それでは、表示される画像を見て<br>どこに配置されている류커 디바이스か<br>当ててください！じゃん！"""
text030#0,"""\\正解だと思う足場へ向かってください！<br><red>20秒後に正解発表<c>です！<br>カウントダウンスタート！"""
text040#0,"""타임 업!<br>正解は…"""
text050#0,"""\\続いて、次の문제です！<br>じゃん！"""
text060#0,"""\\それでは、最後の문제です！<br>じゃん！"""
text080#0,"""\\これですべてのプログラムは終了…<br>おっと！会場にエネミーが乱入したようです！<br>イベントを締める前に片づけてしまいましょう！"""
line02#0,"""正解だと思う領域に向かえ！<br>10秒後に結果発表だ！"""
line03#0,"""タイムアップ！<br>正解は…"""
line04#0,"""次の会場に移動します"""
quiz00_01#0,"""없음"""
quiz00_02#0,"""."""
quize_explanation#0,"""この류커 디바이스はどこでしょう？"""
Title#0,"""この류커 디바이스はどこでしょう？"""
quize_wait#0,"""全員が画像見終わるのを待ちます"""
quiz01#0,"""この류커 디바이스はどこでしょう？"""
quize01_select1#0,"""クライアノ断崖"""
quize01_select2#0,"""라카우 해안"""
quize01_select3#0,"""할파나 평원：東"""
quize01_select4#0,"""할파나 평원：北"""
quize02_select1#0,"""할파나 평원：東"""
quize02_select2#0,"""할파나 평원：北"""
quize02_select3#0,"""마그너스산：西"""
quize02_select4#0,"""발플로우 대폭포：西"""
quize03_select1#0,"""마그너스산：西"""
quize03_select2#0,"""발플로우 대폭포"""
quize03_select3#0,"""라카우 해안"""
quize03_select4#0,"""カナイ島"""
quize04_select1#0,"""이하나산：西"""
quize04_select2#0,"""ダナン雪原：西"""
quize04_select3#0,"""ベルガナ遺跡：北"""
quize04_select4#0,"""라트바산：北"""
quize05_select1#0,"""ダナン雪原：西"""
quize05_select2#0,"""ミストラ樹林：北"""
quize05_select3#0,"""クイール山道"""
quize05_select4#0,"""이하나산：東"""
quize01_correct#0,"""<red>クライアノ断崖<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize01_incorrect#0,"""<red>クライアノ断崖<c>입니다!<br>く～ぅ、残念！！"""
quize02_correct#0,"""<red>할파나 평원：東<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
