msc_010230_0010#0,"""ふたりとも、よくきてくれた。<br>僕がセントラルリーダーのクロフォードだ。"""
msc_010230_0020#0,"""私は……。"""
msc_010230_0030#0,"""マノン君だね。"""
msc_010230_0040#0,"""……キミのことも連絡を受けているよ。"""
msc_010230_0050#0,"""……その、なんというか、<br>大変な目に遭ってしまったね。"""
msc_010230_0060#0,"""キミたちだけでも、<br>無事でいてくれて、本当によかった。"""
msc_010230_0070#0,"""そ、それで……アイナは？"""
msc_010230_0080#0,"""今は、メディカルセンターで治療中だ。"""
msc_010230_0090#0,"""安心してくれ。命に別状はない。"""
msc_010230_0100#0,"""……搬送されて、ちょうど半日か。<br>そろそろ回復しても良い頃合いだね。"""
msc_010230_0110#0,"""アイナ、大丈夫なの？"""
msc_010230_0120#0,"""……へへっ、へーきへーき。"""
msc_010230_0130#0,"""無理はしないように。"""
msc_010230_0140#0,"""ありがとう、クロフォード。"""
msc_010230_0150#0,"""それから、ふたりも。"""
msc_010230_0160#0,"""私たちは……何も。"""
msc_010230_0170#0,"""ううん、心配して来てくれたんでしょ？<br>うれしいよ。"""
msc_010230_0180#0,"""それで……お父さんは……。"""
msc_010230_0190#0,"""そっか……。"""
msc_010230_0200#0,"""お父さんでもかなわなかったあのドールズ、<br>いったい何なの？"""
msc_010230_0210#0,"""……詳しくは調査中だが……。"""
msc_010230_0220#0,"""“ダークファルス”……と呼ばれる<br>ドールズと同種の存在と推定される。"""
msc_010230_0230#0,"""ダークファルスは、１００年ほど前、<br>ハルファ全土に壊滅的な破壊をもたらした災厄だ。"""
msc_010230_0240#0,"""当時の首都を一瞬で壊滅させたと言われている。"""
msc_010230_0250#0,"""もしも、キミたちが遭遇したドールズが、<br>本当にダークファルスなのだとしたら……。"""
msc_010230_0260#0,"""僕たちに、猶予はあまりない。<br>一刻も早く迎撃態勢を整えなくてはならない。"""
msc_010230_0270#0,"""そこで……。"""
msc_010230_0280#0,"""そこで……何？"""
msc_010230_0290#0,"""ダークファルスの唯一の目撃者であるキミたちに、<br>アークスとして僕らの戦いに加わってほしい……と、思っている。"""
msc_010230_0300#0,"""あれだけ大変な目にあった直後に、<br>酷な話だとは思うが……力を貸してくれると嬉しい。"""
msc_010230_0310#0,"""……あたしは、戦える……よ。<br>ううん、あのダークファルスと戦いたい。"""
msc_010230_0320#0,"""……あんなことが、<br>二度と……起きないように……。"""
msc_010230_0330#0,"""アイナ……。"""
msc_010230_0340#0,"""……ふたりは？"""
msc_010230_0350#0,"""戦いに加わる。"""
msc_010230_0360#0,"""マノンはどうする？"""
msc_010230_0370#0,"""……本当に？"""
msc_010230_0380#0,"""キミは、まだこの世界のことをよく知らないだろう？<br>もう少し、時間をおいてからでも構わないが……。"""
msc_010230_0390#0,"""わ、私は……。"""
msc_010230_0400#0,"""……わかったわ。私も協力する。"""
msc_010230_0410#0,"""そうか……ありがとう。"""
msc_010230_0420#0,"""協力、するわ。"""
msc_010230_0430#0,"""……マノン……。"""
msc_010230_0440#0,"""三人とも、ありがとう。"""
msc_010230_0450#0,"""それで、あたしたちは何をすればいいの？"""
msc_010230_0460#0,"""まずはダークファルスの<br>迎撃準備を手伝ってもらいたい。"""
msc_010230_0470#0,"""……そして、ダークファルスが現れたときには……。"""
msc_010230_0480#0,"""一緒に戦う。"""
msc_010230_0500#0,"""とはいえ、今すぐにとは言わない。<br>ラン、部屋の用意は？"""
msc_010230_0510#0,"""三人分、確保してあります。"""
msc_010230_0520#0,"""キミたち三人を、<br>セントラルシティの住人として迎え入れる。"""
msc_010230_0530#0,"""各々、自分のマグを確認してみてくれ、<br>アークスとしてライセンス登録されているはずだよ。"""
msc_010230_0540#0,"""そのマグが、それぞれの部屋の鍵になるようにしておいた。<br>疲れた時はいつでも自由に休んで良いよ。"""
msc_010230_0550#0,"""……話の続きは、日を置いてからにしようか。"""
msc_010230_0560#0,"""部屋の位置情報も、キミたちのマグに送っておいたから、<br>今日は、ゆっくりと休んでほしい。"""
