linewindow#0,"""<br>關於『迴避攻擊』<br>"""
text00#0,"""關於『迴避攻擊』"""
text01#0,"""教學<br>說明關於技能『迴避攻擊』。"""
text02#0,"""迴避攻擊就是<br>技能中可學習的特殊能力之一。<br><br>可以從職業櫃台學習技能"""
text03#0,"""閃避中輸入一般攻擊，<br>閃避後起身時可以立刻開始攻擊。"""
text101#0,"""不管多優秀的ARKS<br>都是從最初的基礎開始的<br>請相信我吧！"""
text102#0,"""祝你好運！"""
linewindow#1,"""<br>『ステップアタック』について<br>"""
text00#1,"""『ステップアタック』について"""
text01#1,"""チュートリアル<br>スキル『ステップアタック』について説明します。"""
text02#1,"""ステップアタックとは、<br>スキルで習得できる特殊能力の１つです。<br><br>スキルはクラスカウンターで習得することができます。"""
text03#1,"""回避中に通常攻撃を入力することで、<br>回避後の立ち上がりから素早く攻撃を始めることができます。"""
text101#1,"""どんなに優秀なアークスも<br>最初はみんな基礎から始める。<br>私を信じてついてきたまえ！"""
text102#1,"""健闘を祈る。"""
