name_7441#0,"""Shirayuki"""
ssn_015640_0001#0,"""Folks have been keeping a close eye on you."""
ssn_015640_0002#0,"""Well, we can't just let you have all the fun, right?"""
ssn_015640_0101#0,"""As you are right now, I think it's safe to say you're pretty much unbeatable."""
ssn_015640_0102#0,"""But war doesn't rest. We can't neglect our training."""
ssn_015640_0103#0,"""So, I bring to you a proposal."""
ssn_015640_0104#0,"""Why not polish your skills to the limit?"""
ssn_015640_0201#0,"""Why not push a Class to its extreme?"""
ssn_015640_0202#0,"""How high does your ceiling go, exactly? That'd be a sight to behold."""
ssn_015640_0301#0,"""Alright. Another time, then."""
ssn_015640_0401#0,"""...I see. So that's what you look like at your strongest..."""
ssn_015640_0402#0,"""Oh, I can tell. Even without seeing you move, I know that look."""
ssn_015640_0403#0,"""Hehe... You really are just full of surprises. I'd expect nothing less of an ARKS recognized by Commander Guren."""
ssn_015640_0404#0,"""I can't let you have all the fun, though. I'll train diligently so I don't fall behind you."""
ssn_015640_0501#0,"""Hehe... You really are just full of surprises. I'd expect nothing less of an ARKS recognized by Commander Guren."""
ssn_015640_0502#0,"""I'll also train diligently so I don't fall behind. Let's keep improving."""
