IncidentName#0,"""暴風雨的贈禮"""
TrialBeginMsg#0,"""讓Mr.安柏拉感到滿意吧！<br>只要承受2次Mr.安柏拉的攻擊即告成功！"""
TrialAbstract#0,"""接受Mr.安柏拉的攻擊2次！"""
TrialFailureAttack#0,"""攻擊Mr.安柏拉2次"""
TrialFailureMiss#0,"""Mr.安柏拉攻擊失敗5次"""
NpcComOnBegin#0,"""/face2 是安柏拉大人！Mr.安柏拉大人耶！<br>據說只要讓牠打到2次<br>就能得到好運喔？"""
NpcComOnSuccess#0,"""/face2 安柏拉大人看起來很高興呢！<br>有沒有得到好運？<br>維持現狀繼續執行任務吧。"""
NpcComOnFailure#0,"""/face6 您把安柏拉大人惹火了呢......<br>這下子誰也安撫不了牠了。<br>請趕緊逃離現場。"""
NpcComOnPreBegin#0,"""新たな熱源反応が接近！<br>注意してください、来ます！"""
NpcComOnBegin#1,"""/face2 Mr.アンブラだな。<br>奴に叩かれると<br>御利益があるらしい。"""
NpcComOnSuccess#1,"""/face2 Mr.アンブラが喜んでいるな。<br>何か御利益はあったか？<br>では、引き続き任務を遂行しろ。"""
NpcComOnFailure#1,"""/face6 Mr.アンブラの機嫌を損ねたようだな。<br>これ以上はどうしようもない。<br>各員、一度退避しろ。"""
NpcComOnPreBegin#1,"""こいつは新たな熱源反応だな。<br>油断するなよ、これはでかいぞ。"""
NpcComOnBegin#2,"""/face2 アンブラ様！\u3000Mr.アンブラ様ですね！<br>彼に叩かれると<br>御利益あるみたいですよ？"""
NpcComOnSuccess#2,"""/face2 アンブラ様、嬉しそうですね！<br>何か御利益はありましたか？<br>この調子で任務を続けてください。"""
NpcComOnFailure#2,"""/face6 アンブラ様を怒らせてしまいましたね……<br>こうなってはどうしようもないです。<br>至急退避してください。"""
StruckUmblla#0,"""/face3 不可以！請不要攻擊<br>安柏拉大人！<br>要是惹牠生氣就慘了。"""
BeStruckByUmblla#0,"""還好麼？<br>再1次，再忍耐1次就行了！"""
NpcComOnPreBegin#2,"""うわわっ、すっごい熱源反応！<br>き、気をつけてくださいね！"""
NpcComOnPreBegin#3,"""周囲への警戒を強めてください。<br>新たな反応が感知されています。"""
NpcComOnBegin#3,"""/face2 この反応は、Mr.アンブラですね！<br>彼に叩かれると御利益があるようです。"""
NpcComOnSuccess#3,"""/face2 Mr.アンブラ、嬉しそうです。<br>何か御利益はありましたか？"""
NpcComOnFailure#3,"""/face6 Mr.アンブラが怒っています。<br>このままでは危険です。<br>一時退避してください。"""
NpcComOnPreBegin#4,"""周辺、警戒してください！<br>不審な反応があります！"""
NpcComOnBegin#4,"""/face2 あれ、Mr.アンブラですね！<br>彼に叩いてもらうと<br>御利益があるかもしれませんよ！"""
NpcComOnSuccess#4,"""/face2 Mr.アンブラが嬉しそうにしてます！<br>これできっと御利益もありますよ！"""
NpcComOnFailure#4,"""/face6 Mr.アンブラは怒っているようです！<br>こうなるとどうしようもないですね。<br>一旦退避してください。"""
NpcComOnPreBegin#5,"""周辺、警戒してください！<br>不審な反応があります！"""
NpcComOnBegin#5,"""/face2 あれ、Mr.アンブラですね！<br>彼に叩いてもらうと<br>御利益があるかもしれませんよ！"""
NpcComOnSuccess#5,"""/face2 Mr.アンブラが嬉しそうにしてます！<br>これできっと御利益もありますよ！"""
NpcComOnFailure#5,"""/face6 Mr.アンブラは怒っているようです！<br>こうなるとどうしようもないですね。<br>一旦退避してください。"""
