name_ai#0,"""MAI001"""
name_7013#0,"""イルマ"""
ssn_015966_0010#0,"""来てくれてありがとう。<br>さっそく、例のデータチップのことなんだけど……。"""
ssn_015966_0020#0,"""ロストセントラルが、主要都市として機能していたころよりも<br>さらに前に、作られたもののようなんだ。"""
ssn_015966_0030#0,"""随分と古いデータということだね。<br>数百年前といったところだろうか。"""
ssn_015966_0040#0,"""うん。かなり痛んでいたから復元も一部分だけなんだけど、<br>なんとかデバイスで読み込めるようにしたよ。"""
ssn_015966_0050#0,"""どうやらマグを対話可能にする拡張データ、<br>といったもののようなんだ。"""
ssn_015966_0060#0,"""キミのマグにデータを送ったから<br>確認してみてほしい。"""
ssn_015966_0070#0,"""わかった。"""
ssn_015966_0080#0,"""……M.A.I.システム、起動。現在のTYO時刻不明。"""
ssn_015966_0090#0,"""破損データ多数。システムの修復を開始します……。"""
ssn_015966_0100#0,"""こんにちは。<%me>さん。<br>わたしは、“M.A.I.”のMAI001です。"""
ssn_015966_0110#0,"""ご用があれば、ぜひお話してください。<br>あなたとの会話を学習し、より良い提案ができるようになります。"""
ssn_015966_0120#0,"""無事に起動したようだが……。<br>まさか、マグでこんなことが出来るなんてね。"""
ssn_015966_0130#0,"""“MAI001”自身も言っていたが、破損したデータが多い。<br>本来の機能がどんなものだったか、調べる必要がありそうだね。"""
ssn_015966_0140#0,"""それに、僕にも分からない知識や言葉を知っているようだった。<br>このチップが作られた時代の知識なんだろうか……。"""
ssn_015966_0150#0,"""ともかく、自律的に学習できるプログラムのようだし、<br>たくさんの場所を訪れるキミに、このデータを託したいんだ。"""
ssn_015966_0160#0,"""なるほど。<br>キミだからこそ理解できる言葉もあるかもしれないし、ね。"""
ssn_015966_0170#0,"""イルマは引き続き、データについての解析を頼む。<br>キミは“M.A.I.”の会話を通じて、データの収集をお願いするよ。"""
ssn_015966_0180#0,"""ああ、そうだ。ひとつ注意点があって、MAI001は繊細な構造なようで、<br>現時点では戦闘が発生しうるセクションでの使用は控えてほしい。"""
ssn_015966_0190#0,"""たしかに、交流は安全な場所の方が良さそうだね。<br>すまないが、一度シティやキャンプへの移動を頼むよ。"""
ssn_015966_0200#0,"""何か聞きたいことはあるかい？"""
ssn_015966_0210#0,"""どこでデータチップを見つけたの？"""
ssn_015966_0220#0,"""マグにどんな機能がついたの？"""
ssn_015966_0230#0,"""聞きたいことはない。"""
ssn_015966_0240#0,"""ロストセントラルの奥に、氷に覆われた部屋にあったんだ。"""
ssn_015966_0250#0,"""危険なエリアだったから、発見後しばらく放置されていたんだけどね。<br>他のアークスたちと協力して、やっと調査ができたんだ。"""
ssn_015966_0260#0,"""以前のこともあって、兄妹たちからは、<br>ひとりでは絶対に行くなって、さんざん釘を刺されていたよ。"""
ssn_015966_0270#0,"""簡単に言えば、マグが話せるようになった、<br>という認識かな。"""
ssn_015966_0280#0,"""MAI001には、ハルファの基礎データは入っているはずだ。<br>新しい知識もどんどん増えていくみたいだよ。"""
ssn_015966_0290#0,"""それじゃ。"""
Title#0,"""『M.A.I.』利用規約"""
