name01#0,"""Echo"""
name01#1,"""エコー"""
linewindow001#0,"""ท่านผ่านเป้าหมายของ Client Order<br>\""\""Lost and Found"""
text01#0,"""โอ <%me> ท่านกลับมาแล้ว<br>ค่อยสบายใจหน่อ"""
text02#0,"""ท่านเจอ Rod ของข้าอีก<br>ขอบคุณมาก"""
text03#0,"""แต่มันยังเร็วไปที่จะได้รางวัล<br>เพราะ Client order มีกฏที่ต้องทำตามจำได้มั้ย<br>รายงานล่ะ?"""
11_voice_NPC_5002_100#0,"""ข้าจะรอในจุดปกติ<br>มาพบข้าเมื่อท่านทำเสร็จเรียบร้อย"""
linewindow001#1,"""<br>クライアントオーダー「些細な探しもの」の目標を達成しました。<br>"""
text01#1,"""あ、<%me><br>帰還した？\u3000無事なのね？<br>はぁ、よかったぁ……"""
text02#1,"""あたしのお願いしたものも<br>見つけてきてくれたようで……<br>ほんと、ありがとね。"""
text03#1,"""と、と、お礼なんかはまだ早いかな。<br>クライアントオーダーなんだし<br>しっかりルールは守らないと。"""
11_voice_NPC_5002_100#1,"""それじゃ、いつものところで<br>待ってるから、完了報告、お願いね。"""
