choice01#0,"""『ヒーロー』について"""
choice02#0,"""『ヒーローソード』について"""
choice03#0,"""『ヒーローＴマシンガン』について"""
choice04#0,"""『ヒーロータリス』について"""
choice05#0,"""『ヒーローギア』／『ヒーロータイム』"""
choice06#0,"""『武器切り替えＰＡ』について"""
choice_end#0,"""この場を離れる"""
Title#0,"""『ヒーロー』について"""
text0001#0,"""ヒーローは単独での複数エネミーとの戦闘に<br>長けた上級クラスです。<br><br>装備可能な武器は「ソード」「Ｔマシンガン」<br>「タリス」の３種類です。<br>今までのクラスで装備した時とは異なる<br>アクションの使用が可能です。<br><br><c ffff00>「ソード」<c><br>素早い攻撃と「気弾」による中距離攻撃<br><c ffff00>「Ｔマシンガン」<c><br>長距離の攻撃と「リロード」によるＰＰ回復<br><c ffff00>「タリス」<c><br>ＰＡの追加と「マーキング」による高速移動"""
text0002#0,"""ヒーローにクラスチェンジする為には<br>専用のクライアントオーダーを<br>クリアする必要があります。<br><br>打撃・射撃・法撃クラスに属するクラスを<br>いずれか１つずつ７５レベルにすることで<br>入手出来る称号を提示する必要があります。<br><br><c ffff00>＜打撃クラス＞<c><br>ハンター・ファイター・バウンサー<br><c ffff00>＜射撃クラス＞<c><br>レンジャー・ガンナー・ブレイバー<br><c ffff00>＜法撃クラス＞<c><br>フォース・テクター・サモナー"""
text0003#0,"""ヒーローは『上級クラス』のため<br>今までのクラスとは異なる点があります。<br><br>・サブクラスを設定できない<br>（クエストの受注条件にサブクラスの<br>\u3000レベル制限がある場合はメインクラスの<br>\u3000レベルを参照します）<br><br>・一部の潜在能力、スキルリングの効果が無効<br>（例：戦技昂魂、Ｒ／アタックアドバンス等）<br><br>・専用のレベル上限解放オーダーが発生<br>・サポートパートナーは<br>\u3000ヒーローにクラス変更できません"""
Title#1,"""『ヒーローソード』について"""
text0001#1,"""ヒーローが装備したソード<br>「ヒーローソード」について説明します。<br><br>ヒーローソードは、広い攻撃範囲と<br>素早い攻撃速度が特徴です。<br><br>ヒーローソードのＰＡには<br>ＰＡボタンを長押しすることで<br>追加アクションが発生するものや<br>チャージができるもの<br>他のヒーロー武器に自動装備切り替えを<br>行うものが存在します。"""
text0002#1,"""「ヒーローソード」は武器アクションで<br>「気弾」による中距離からの攻撃が可能です。<br><br>「気弾」を放つ際に武器アクションボタンを<br>長押しすることでチャージを行うことができ<br>より強力な「気弾」を放つことができます。"""
Title#2,"""『ヒーローＴマシンガン』について"""
text0001#2,"""ヒーローが装備したＴマシンガン、<br>「ヒーローＴマシンガン」<br>について説明します。<br><br>従来のＴマシンガン以上の<br>長射程と連射性能を持ち<br>強力な遠距離攻撃を行うことができます。<br><br>ヒーローＴマシンガンのＰＡには<br>ＰＡボタンを長押しすることで<br>他ヒーロー武器に自動装備切り替えを<br>行うものが存在します。"""
text0002#2,"""ヒーローＴマシンガンは、<br>通常攻撃でＰＰを消費します。<br><br>ＰＰを回復するためには武器アクション<br>「リロード」を使用しましょう。<br><br>武器アクションボタンを押している間は<br>リロードを継続させることが出来ます。<br><br>また、ジャストアタックタイミングで<br>リロードを行うと「ジャストリロード」<br>が発生し、ＰＰ回復速度が上昇します。"""
text0003#1,"""ヒーローＴマシンガンを装備中の<br>ＰＰ回復・ＰＰ消費系潜在能力の効果に<br>ついて説明します。<br><br>ＰＰ自然回復系の潜在能力は<br>納刀状態とリロードアクション中に<br>効果が発動します。<br><br>ＰＰ消費系の潜在能力は<br>通常攻撃中にも効果が発動します。"""
Title#3,"""『ヒーロータリス』について"""
text0001#3,"""ヒーローが装備したタリス、<br>「ヒーロータリス」について説明します。<br><br>ヒーロータリスは、従来のタリスでは<br>使用できなかったＰＡが使用できるようになり<br>タリス、ＰＡ、テクニックを組み合わせた<br>多彩な攻撃を行うことができます。<br><br>ヒーロータリスのＰＡには、<br>ＰＡ発動後にＰＡボタンを長押しすることで<br>他ヒーロー武器に自動装備切り替えを<br>行うものが存在します。"""
