Npc45_01_010#0,"""ข้ามีเรื่องสงสัยเกี่ยวกับ ARKS อย่างนึง<br>คือมันแปลกไปหน่อยรึเปล่า <br>ที่อาชีพนี้รับคนโดยดูที่ความสามารถแค่ข้อเดียวเนี่ย?"""
Npc45_01_010#1,"""僕はアークスに疑問をもっています。<br>才能だけで定められる職業というのは<br>なんとも歪だと思いませんか？"""
Npc45_02_010#0,"""ข้ามีเรื่องสงสัยเกี่ยวกับ ARKS อย่างนึง<br>คือมันแปลกไปหน่อยรึเปล่า <br>ที่อาชีพนี้รับคนโดยดูที่ความสามารถแค่ข้อเดียวเนี่ย?"""
Npc45_02_010#1,"""僕はアークスに疑問をもっています。<br>才能だけで定められる職業というのは<br>なんとも歪だと思いませんか？"""
Npc45_03_010#0,"""อยู่ก็อยู่เหมือนกัน กินก็กินเหมือนๆกัน <br>แต่ทำไมถึงมีแค่บางคนที่สามารถดูดซับ Photon ได้ล่ะ..."""
Npc45_03_010#1,"""同じ環境、同じ条件で生育してるのに<br>どうしてフォトンを扱う力に<br>差が生まれるんでしょう……"""
Npc45_04_010#0,"""อยู่ก็อยู่เหมือนกัน กินก็กินเหมือนๆกัน <br>แต่ทำไมถึงมีแค่บางคนที่สามารถดูดซับ Photon ได้ล่ะ..."""
Npc45_04_010#1,"""同じ環境、同じ条件で生育してるのに<br>どうしてフォトンを扱う力に<br>差が生まれるんでしょう……"""
Npc45_05_010#0,"""อยู่ก็อยู่เหมือนกัน กินก็กินเหมือนๆกัน <br>แต่ทำไมถึงมีแค่บางคนที่สามารถดูดซับ Photon ได้ล่ะ..."""
Npc45_05_010#1,"""同じ環境、同じ条件で生育してるのに<br>どうしてフォトンを扱う力に<br>差が生まれるんでしょう……"""
Npc45_06_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง...<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_06_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_07_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง...<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_07_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_08_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง...<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_08_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_mb9_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง...<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_mb9_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_mb10_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง...<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_mb10_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_mb11_010#0,"""พลังในการดูดซับ Photon มันมาจากไหน<br>แล้วมันเกิดขึ้นได้ยังไง......<br>ผมเคยไปหาข้อมูลแต่สุดท้ายก็ไม่รู้อยู่ดี"""
Npc45_mb11_010#1,"""フォトンを扱う力とは何なのか。<br>それはどういう器官なのか……<br>調べてもわからないんですよね。"""
Npc45_mb12_010#0,"""ได้ยินมาว่ามีคนกำลังทำการทดลองปลูกถ่าย <br>Photon ลงในคนธรรมดาแล้ว<br>......มันเป็นไปได้จริงๆ น่ะเหรอ"""
Npc45_mb12_010#1,"""後天的なフォトン付与の研究が<br>行われていると聞きました。<br>……どのようなものなのでしょう。"""
Npc45_mb13_010#0,"""ได้ยินมาว่ามีคนกำลังทำการทดลองปลูกถ่าย <br>Photon ลงในคนธรรมดาแล้ว<br>......มันเป็นไปได้จริงๆ น่ะเหรอ"""
Npc45_mb13_010#1,"""後天的なフォトン付与の研究が<br>行われていると聞きました。<br>……どのようなものなのでしょう。"""
Npc45_mb14_010#0,"""ได้ยินมาว่ามีคนกำลังทำการทดลองปลูกถ่าย <br>Photon ลงในคนธรรมดาแล้ว<br>......มันเป็นไปได้จริงๆ น่ะเหรอ"""
Npc45_mb14_010#1,"""後天的なフォトン付与の研究が<br>行われていると聞きました。<br>……どのようなものなのでしょう。"""
Npc45_mb16zeno_010#0,"""......ไม่เข้าใจเลยครับ<br>ว่าเรื่องมันเป็นอะไรยังไงกันแน่?"""
Npc45_mb16zeno_010#1,"""……わかりません。<br>一体、何がどうなっているんですか？"""
