name_7746#0,"""アーティー"""
ssn_015180_0001#0,"""トレイニアアドバンスを活用しているかい？"""
ssn_015180_0002#0,"""キミはなかなか筋がいい。<br>その調子で、さらに腕を磨いていってくれ。"""
ssn_015180_0101#0,"""キミか。いいところに。<br>話したいことがあるんだ。"""
ssn_015180_0102#0,"""前に、キャノンボールランブルに<br>挑んでもらったことは覚えているな？"""
ssn_015180_0103#0,"""実は、トレイニアアドバンスは、<br>ほかにもまだあるんだ。"""
ssn_015180_0104#0,"""どうだい、詳しく知りたくないかい？"""
ssn_015180_0201#0,"""キャノンボールストライクは、<br>的あてのタイミングが重要だ。"""
ssn_015180_0202#0,"""頑張ってくれ。"""
ssn_015180_0301#0,"""そうか、また来いよ。"""
ssn_015180_0401#0,"""トレイニアアドバンスを活用しているか？"""
ssn_015180_0402#0,"""キミには期待している。<br>これからも、ますます腕を磨いていってくれ。"""
