Title#0,"""Hyper Songkran!"""
Explanation#0,"""สวัสดีจ๊า ภารกิจนี้ไม่ได้มาจาก ARKS หรอกน้า<br>แต่มาจาก Shea จังพี่สาวแสนสวยคนนี้ต่างหากจ้า!<br>ตอนนี้พี่น้อง Naura กำลังเปิดร้านเค้กอยู่ที่ <br>Greenscape บน Naberius นู่นแน่ะ !<br>เห็นว่ากำลังเตรียมของพิเศษสำหรับเฉพาะ<br>ช่วงสงกรานต์นี้กันอยู่ด้วย! ช่วยทำภารกิจนี้หน่อยละกัน <br>จะได้เข้ากับบรรยากาศแสนสนุกสนานตอนนี้ยังไงล่ะ!<br>-------------------------------------------------<br>เงื่อนไขความล้มเหลว / <br>ป้องกันไม่สำเร็จหรือเสร็จภารกิจไม่ทันเวลา"""
Title#1,"""ハイパーソンクラーン!"""
Explanation#1,"""はいはーい、この依頼はアークスではなく<br>シーおねえさんからお伝えしちゃいますっ!<br>惑星ナベリウスの森林エリアで<br>ナウラのケーキ屋さんが期間限定で開店中!<br>ソンクラーンの時期ということもあって<br>お祭りにちなんだ商品が並んでるみたいっ!<br>積極的に参加して、みんなで一緒に<br>お祭りムードを盛り上げよう!<br>――――――――――――――――――――<br>失敗条件/防衛の失敗、制限時間の経過"""
SimpleExplanation#0,"""สะสม Songkran Point!"""
SimpleExplanation#1,"""ソンクラーンptをためろ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
urgency_outline_501010#0,"""สะสม Songkran Pt กันเถอะ!"""
urgency_outline_501010#1,"""ソンクラーンptをためろ！"""
urgency_begin_501010#0,"""สะสม Songkran Pt ให้ครบ $(0) กันเถอะ!"""
urgency_begin_501010#1,"""ソンクラーンptを$(0)ためろ！"""
