ssc_511010_0010#0,"""ああ、こちらに来ていたんですね。"""
ssc_511010_0020#0,"""このあたりのエネミーは、<br>あらかた片付けましたが、警戒を怠らぬよう。"""
ssc_511010_0030#0,"""……ところで、<br>少し時間はありますでしょうか。"""
ssc_511010_0040#0,"""ありがとうございます。"""
ssc_511010_0050#0,"""ひとつ、質問がありまして……。<br>グレン隊長についてなのですが。"""
ssc_511010_0060#0,"""率直に言って、<br>どんな印象をもたれていますか？"""
ssc_511010_0070#0,"""強い。"""
ssc_511010_0080#0,"""怖い。"""
ssc_511010_0090#0,"""え？\u3000ええ……、そうですね。<br>確かに強いです。ほかのどのアークスよりも。"""
ssc_511010_0100#0,"""ちょっと、<br>意図したものとは違う回答でしたね……。"""
ssc_511010_0110#0,"""……やはり、そういう印象があるのですね。"""
ssc_511010_0120#0,"""隊長は、口数が少ないので、<br>誤解されることも少なくありません。"""
ssc_511010_0130#0,"""作戦行動中は、<br>気を張っているのでなおのことです。"""
ssc_511010_0140#0,"""ですが、本当は部下思いのよい上官なのです。"""
ssc_511010_0150#0,"""敵の領域内では、常に先頭に立ち……。"""
ssc_511010_0160#0,"""後退するときは、しんがりを務める。"""
ssc_511010_0170#0,"""それが、部隊の損耗を抑える最善策だと。"""
ssc_511010_0180#0,"""そういう性分なので、<br>部下からの信頼は厚いのです。"""
ssc_511010_0190#0,"""皆、隊長にすべてを託せるから、<br>自分たちは命を懸けられると言ってはばかりません。"""
ssc_511010_0200#0,"""……とはいえ、隊長にはもう少し、<br>わかりやすい態度をとってほしいと思うこともあります。"""
ssc_511010_0210#0,"""とくに、初対面のかたには……。"""
ssc_511010_0220#0,"""以前、エアリオの補給隊員にも、<br>隊長の印象について聞いたことがあるのです。"""
ssc_511010_0230#0,"""それで、相手のかたは、<br>「不興を買ったら、生きては帰れないと思っていた」と。"""
ssc_511010_0240#0,"""ほかの者とは、気兼ねなく接するかたで、<br>隊長にだけ、妙にかしこまった態度をとられていたので……。"""
ssc_511010_0250#0,"""おかしいと思っていたのですが。"""
ssc_511010_0260#0,"""大きな行き違いを生む前に、<br>誤解がとけてよかったです。"""
ssc_511010_0270#0,"""なんだか知っていそうな相手だ。"""
ssc_511010_0280#0,"""誰の話だろう？"""
ssc_511010_0290#0,"""シトレーというかたです。"""
ssc_511010_0300#0,"""シトレーというかたですね。"""
ssc_511010_0310#0,"""もし、ご存じでしたら、<br>あなたからも、あらためてお伝えください。"""
ssc_511010_0320#0,"""隊長は、怖くない。<br>ただ、無口で表情筋が硬いだけなのだと。"""
ssc_511010_0330#0,"""あなたは、隊長が認めた<br>数少ないアークスのひとりです。"""
ssc_511010_0340#0,"""今後とも、親しく接していただければ幸いです。"""
ssc_511010_0350#0,"""よろしくお願いします。"""
