name_7024#0,"""グイーデン"""
msn_005012_0001#0,"""どうした？\u3000リューカーデバイスだぞ。<br>ガイドマーカーのところに向かうんだ。"""
msn_005012_0101#0,"""よし、戻ってきたな。"""
msn_005012_0102#0,"""リューカーデバイスは各地に点在している。<br>見つけたら、そのつど使えるようにしておくといいだろう。"""
msn_005012_0103#0,"""……さて、それでは私たちの敵、<br>“ドールズ”について話しておこう。"""
msn_005012_0104#0,"""ドールズは謎に包まれた存在だ。"""
msn_005012_0105#0,"""どこから来るのか、なぜ私たちを襲うのか、<br>何ひとつわかっていない。生物なのかどうなのかすらも。"""
msn_005012_0106#0,"""アークスは長年に渡り、その未知の敵と戦いを繰り広げている。"""
msn_005012_0107#0,"""これからキミにも、ドールズと戦ってもらうことになる。<br>そのために、アークスとして力をつけていってほしい。"""
msn_005012_0108#0,"""シティには熟練のアークスたちがたくさんいる。<br>彼らから戦闘技術を教わるといいだろう。私から話をしておく。"""
msn_005012_0109#0,"""他にも、優れた研究員や職員たちが、<br>キミにアドバイスをくれるはずだ。"""
msn_005012_0110#0,"""積極的に話しかけてみてくれ。"""
msn_005012_0201#0,"""うむ、順調に力をつけているようだな。"""
msn_005012_0202#0,"""だが、まだまだ学ぶべきことはたくさんある。<br>引き続き、皆に話しかけてみるといいだろう。"""
