name01#0,"""Astalte"""
text01#0,"""ประทับตราเรียบร้อย<br>ขอบพระคุณมากนะ"""
11_voice_shop_414#0,"""ภารกิจ ClientOrder ต่อไป<br>สามารถรับได้ที่ Cofy<br>"""
text03#0,"""ให้ไปรับและทำภารกิจ <c bb0000>[Difficulty Unlock II]<c><br>ให้ลุล่วง"""
text04#0,"""แต่การจะรับภารกิจนี้ได้ ท่านจำเป็นต้องมี <br>ClassLevel เท่ากับ 37 หรือมากกว่าเท่านั้นนะ"""
text05#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は、コフィーの<br>クライアントオーダーです。"""
text03#1,"""<c bb0000>「難易度制限解放試練・Ⅱ」<c>の<br>受注と達成が目的となります。"""
text04#1,"""受注するための条件に<br>クラスレベル３７以上とありますので<br>ご注意下さい。"""
text05#1,"""それでは、頑張って下さい。"""
