name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""How are you holding up,<br><%me>?<br>I am Officer Cofy."""
text02#0,"""In light of your performance,<br>you've been cleared to take on<br>a new type of mission."""
text03#0,"""Come to the Quest Counter<br>when you have some time.<br>I'll be waiting."""
text100#0,"""Client Request"""
text101#0,"""Cofy has issued a client request.<br><br>Cofy is at the east Quest Counter in the gate area."""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""<%me>さんの<br>活動記録を鑑みまして<br>新たな依頼の発注許可が下りました。"""
text03#1,"""お時間ができましたら<br>クエストカウンターへお越しください。<br>お待ちしております。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""コフィーにクライアントオーダーが発生しました。<br><br>コフィーはゲートエリア・東クエストカウンターにいます。"""
