name01#0,"""เกี่ยวกับ [Mining Base Defense Battle]"""
name01#1,"""『採掘基地防衛戦』について"""
text01#0,"""อธิบายเกี่ยวกับ [Mining Base Defense Battle]<br><br>Mining Base Defense Battle คือเควสที่ต้องปกป้อง Base <br>ให้รอดพ้นจากการบุกโจมตีของ D-arker<br>การบุกโจมตี 1 ชุดจะนับเป็น [Wave]<br>หากสามารถปกป้อง Base ให้เหลือรอดได้แม้แต่ Base เดียว<br>หลังจาก Wave สุดท้ายสิ้นสุดลง<br>ก็จะผ่านเควส<br><br>เนื่องจาก Base มีอยู่หลายแห่ง<br>ผู้เล่นจึงจำเป็นต้องใช้ฝีมือและความสามัคคี<br>ปกป้อง Base ทุกวิถีทางให้รอดพ้นจากการถูกทำลาย"""
text02#0,"""ขณะที่กำลังทำเควส Mining Base Defense Battle<br>ผู้เล่นสามารถรวมรวบ [Crystal] ที่ปรากฏขึ้นในฉาก<br>เพื่อใช้งาน Support Facility ต่างๆ ได้<br><br>Facility ต่างๆ จะสามารถใช้งานได้ 1 คนต่อ 1 ครั้ง<br>(Point จะไม่ลดลง)<br>จึงควรคิดให้รอบคอบก่อนทำการเรียกใช้งาน"""
text03#0,"""Support Facility จะมีดังต่อไปนี้<br><br>-Burst Barrier (เรียกใช้จาก Position Terminal)<br>บาเรียธาตุน้ำแข็งที่จะกางเอาไว้บริเวณโดยรอบ Base <br>ซึ่งสามารถทำให้ศัตรูติดสถานะ Freeze ได้ <br>อีกทั้งยังสามารถทำลาย [Gigantic Corrupted Core] ได้อีกด้วย <br><br>-ฟื้นฟูค่าความทนทาน (เรียกใช้จาก Position Terminal)<br>ฟื้นฟู Base ที่มีค่าความทนทานเหลือน้อย<br><br>-ติดตั้ง Gun Terret (เรียกใช้จาก Defense Socket)<br>ติดตั้ง Gun Terret ลงบน Defense Socket<br><br>-ติดตั้ง Photon Particle Cannon (เรียกใช้จาก Defense Socket)<br>ติดตั้ง Photon Particle Cannon ลงบน Defense Socket"""
text04#0,"""มีบางครั้งที่เหล่า D-arker จะใช้อาวุธ<br>[Gigantic Corrupted Core] โจมตี Base<br><br>Base ที่ถูกโจมตีด้วย Gigantic Corrupted Core<br>ค่าความทนทานจะค่อยๆ ลดลง<br>ยิ่งปล่อยไว้นาน ความเสียหายจะยิ่งรุนแรงขึ้น<br>หากพบเห็นควรรีบทำลายทิ้งโดยเร็ว"""
text05#0,"""ในกรณีที่ปรากฏคำเตือนก่อนเริ่ม Wave<br>แสดงว่าศัตรูที่กำลังจะมานั้นแข็งแกร่งกว่าปกติ<br>ซึ่งส่วนมากจะมี HP หรือ พลังโจมตีที่สูง<br>ขอให้เตรียมตัวให้พร้อมเพื่อรับมือ<br><br>ทว่า Wave ที่ศัตรูมีพลังที่สูงผิดปกติเช่นนี้<br>รางวัลตอบแทนเมื่อสามารถผ่าน Wave นั้นได้<br>มีความเป็นไปได้ว่าจะล้ำค่ากว่าปกติเช่นกัน"""
text06#0,"""การกำจัดศัตรูในเควสนี้<br>ผู้เล่นจะไม่ได้รับไอเทมที่หล่นตามพื้นเหมือนปกติ<br>ไอเทมของ Client Order และ Matter Board เอง<br>ก็จะไม่ดรอปเช่นกัน<br><br>แต่จะมีของรางวัลให้เมื่อสามารถผ่านแต่ละ Wave<br>และสามารถได้รับรางวัลจำนวนมาก เมื่อป้องกันสำเร็จ"""
text07#0,"""ใน Mining Base Defense Battle นี้<br>จะมีการแสดงชื่อผู้เล่นทรงคุณค่าหรือ MVP ด้วย<br><br>หากพบผู้เล่นคนใดที่ทำประโยชน์<br>ควรส่ง Good Job เพื่อเป็นกำลังใจให้แก่กัน<br>และผู้เล่นทุกคนสามารถส่งคำขอเป็น Friend ได้ตามอัธยาศัย"""
text01#1,"""採掘基地防衛戦について説明します。<br><br>採掘基地防衛戦はダーカーの激しい攻撃から<br>拠点を守るクエストです。<br>一回の攻撃を「ウェーブ」といい、<br>最後のウェーブを終えた時、<br>拠点が1つでも残っていれば<br>クエストクリアとなります。<br><br>拠点は複数あるので、<br>声を掛け合ったり援護したりして<br>協力して防衛しましょう。"""
text02#1,"""採掘基地防衛戦中、フィールドで<br>『正結晶』を集める事で<br>様々な支援機能を使用出来ます。<br><br>各機能一人一回ずつ使用することができます。<br>(ポイントは消費しません）<br>ピンチな時やここぞという時に使いましょう。"""
text03#1,"""支援効果は以下の通りです。<br><br>・バーストバリア(拠点端末から使用)<br>拠点の周りに氷属性の攻撃を行いダーカーをフリーズ状態にします。<br>また、巨大侵食核を破壊する事が出来ます。<br><br>・耐久値回復(拠点端末から使用)<br>拠点の耐久値をわずかに回復します。<br><br>・銃座設置(防衛ソケットから使用)<br>防衛ソケットに銃座を設置します。<br><br>・フォトン粒子砲設置(防衛ソケットから使用)<br>防衛ソケットにフォトン粒子砲を設置します。"""
text04#1,"""ダーカーは拠点を攻撃する兵器<br>「巨大侵食核」を使用する場合があります。<br><br>巨大侵食核は拠点にまとわりつき<br>定期的にダメージを与えます。<br>成長する度にダメージが大きくなっていくため<br>見つけたら素早く破壊するようにしましょう。"""
