msc_011450_0010#0,"""你們都平安無事地回來了啊。"""
msc_011450_0020#0,"""都是多虧了這三位。<br>這次我也挺危險的。"""
msc_011450_0030#0,"""謝謝你們三位。"""
msc_011450_0040#0,"""我真沒想到，<br>你們居然能把那個艾亞利奧屠滅龍打倒……"""
msc_011450_0050#0,"""克羅福德，我從那個艾亞利奧屠滅龍的身上<br>拿到之前提到的零件了。"""
msc_011450_0060#0,"""是嗎！<br>那我馬上聯絡開發部……"""
msc_011450_0070#0,"""零件？"""
msc_011450_0080#0,"""唔……"""
msc_011450_0090#0,"""……好吧，也跟你們說一下吧。"""
msc_011450_0100#0,"""這是……？"""
msc_011450_0110#0,"""這是我們正在開發的<br>對付黑暗法爾斯的王牌。"""
msc_011450_0120#0,"""我們身上流淌著的“光子”，<br>對於黑暗法爾斯和DOLLS而言，是一種很難以應付的特殊力量。"""
msc_011450_0130#0,"""但是，黑暗法爾斯實在是過於強大了，<br>它們的弱點－－核心，被保護在了它厚厚的身軀之下。"""
msc_011450_0140#0,"""也正因如此，即便是頗具實力的嘉羅亞，<br>也沒能完全幹掉它。"""
msc_011450_0150#0,"""畢竟每個ARKS個體的力量是有限的。<br>所以呢，我們便思考起了有沒有其他的手段。"""
msc_011450_0160#0,"""光子也存在於大氣之中，<br>而大氣之中的光子，遠超於我們體內的含量。"""
msc_011450_0170#0,"""若是我們可以收集大氣中的光子，將其壓縮好幾倍……<br>並將它射出，也許就能貫穿黑暗法爾斯的身軀……"""
msc_011450_0180#0,"""也就是說，能直接向它的核心，集中發射經壓縮的光子了。"""
msc_011450_0190#0,"""而這超大口徑單裝光子炮……“中央加農炮”<br>就可以實現這個目標。"""
msc_011450_0200#0,"""中央加農炮……"""
msc_011450_0210#0,"""這也是我曾經說過的，<br>需要你們幫助的理由之一。"""
msc_011450_0220#0,"""在黑暗法爾斯隨時有可能再度襲來的當下，<br>我們必須加快開發速度。"""
msc_011450_0230#0,"""但是為此所需的素材還遠遠不足。"""
msc_011450_0240#0,"""為了完成建造，我們必須收集素材，<br>但這單靠這艾亞利奧地區的力量是不夠的。"""
msc_011450_0250#0,"""我們也必須藉助<br>其他地區ARKS們的協力。"""
msc_011450_0260#0,"""而我希望，今後可以拜託你們<br>幫忙牽線搭橋一下。"""
msc_011450_0270#0,"""也就是說，<br>我們之後會被委派前往其他地區嗎？"""
msc_011450_0280#0,"""我是不會把這苦差事只交給你們做的。<br>其他中央所屬的ARKS也會一同前往。"""
msc_011450_0290#0,"""首先嘛，我應該會讓你們去一趟東方的黎泰姆地區。"""
msc_011450_0300#0,"""詳細的計劃，<br>準備就緒之後再聯係你們。"""
msc_011450_0310#0,"""在那之前，<br>我希望你們可以養精蓄銳。"""
msc_011450_0320#0,"""恩，我明白了！黎泰姆地區啊……<br>會是個怎樣的地方呀？"""
