text01#0,"""......Rod เป็นอาวุธสำคัญสำหรับเหล่า Wizard<br>ถ้าคิดอะไรไม่ออกล่ะก็คว้าติดไว้กับมือก่อนเลย"""
text02#0,"""......มันช่วยขยายความรุนแรงของ Photon Magic ได้<br>และเมื่อถึงเวลาจนมุมแล้วเราสามารถใช้มันแทนอาวุธ<br>ระยะประชิดได้"""
text03#0,"""......ท่านสามารถเลือก Photon Magic ได้สี่อย่างไว้ใน Rod<br>ลองจัดสิ่งที่เหมาะสมกับสถานการณ์ดูล่ะกัน"""
text04#0,"""......สนใจ Rod แล้วหรือยังล่ะ?<br>ถ้าอย่างนั้นเอานี่ไปซิ<br>มันเป็นของข้าเอง ยังใช้งานได้ดีอยู่นะ"""
text05#0,"""......แทนที่จะมานั่งเรียน สู้ออกไปปฏิบัติจริงเลย<br>จะทำให้เข้าใจได้ง่ายกว่านะ<br>เพราะงั้นแล้วลองออกไปฝึกฝนดูหน่อยไหม"""
text06#0,"""Rod"""
text07#0,"""Rod เป็นอาวุธพื้นฐานสำหรับ Photon Magic <br>ที่ใช้ในการโจมตีทั่วไปรวมถึงใช้ร่วมกับ Photon Magic<br>ถือเป็นอาวุธที่ใช้ง่ายแม้สำหรับมือใหม่"""
text08#0,"""ลองใช้การโจมตีด้วย Rod แบบพื้นฐานพร้อมกับ Photon Move"""
text01#1,"""……フォースの基本は、ロッド。<br>迷ったらこれを持っておくといい。"""
text02#1,"""……テクニックの出力を後押しするし<br>いざというときは打撃武器としても<br>用いることが出来る。"""
text03#1,"""……ロッドにセットできる<br>テクニックは最大で四つ。<br>状況に応じて使い分けるといい。"""
text04#1,"""……ロッドに興味出てきた？<br>なら、これを渡しておく。<br>私のお下がりで申し訳ないけど。"""
text05#1,"""……座学よりも、実践したほうが<br>感覚を掴むのも早いと思う。<br>少し、練習してきたらどうかしら。"""
text06#1,"""『ロッド』について"""
text07#1,"""武器「ロッド」について、説明します。<br><br>ロッドは、通常攻撃に加え、テクニックが扱える<br>初心者にも扱いやすいスタンダードな法撃武器です。"""
text08#1,"""ロッド系の基本攻撃と<br>テクニックの動きを確認してみましょう。"""
