Title#0,"""Mining Base Defense: Despair"""
Explanation#0,"""ประกาศภารกิจฉุกเฉินถึง ARKS ทุกนาย<br>ระบบตรวจพบการเคลื่อนไหวของกองทัพ D-arker จำนวนมาก<br>ใกล้กับบริเวณ Mining Base บนดาว Lilipa<br>แม้สถานการณ์จะดูสิ้นหวังเนื่องจาก Base ถูกกัดกร่อนไปแล้ว<br>แต่เราจะไม่มีวันถอดใจ<br>ขอให้รีบรุดไปยังที่เกิดเหตุและฟื้นฟูฐานที่มั่น<br>จากนั้นกำจัด D-arker ที่บุกรุกให้สิ้นซาก<br>-----------------------------------<br>จำนวนระลอก: 8 Wave<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / Base ทั้งหมดถูกยึดครอง"""
Title#1,"""採掘基地防衛戦：絶望"""
Explanation#1,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>全8ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""ป้องกัน Mining Base ให้ได้ !"""
SimpleExplanation#1,"""採掘基地を防衛せよ！"""
Wave1_Talk#0,"""Darker โผล่มาแล้วค่า !<br>ตรวจพบการ Corrupt ที่ Defense Socket ด้วย<br>จัดการพวกมันพร้อมกันให้หมดเลยนะค้า !"""
Wave2_Talk#0,"""พบแหล่งพลังงานของ Darker แล้วค่ะ !<br>รีบขึ้นไปขี่ A.I.S<br>แล้วถล่มพวกมันให้เละทีนะค้า !"""
Wave3_Talk#0,"""ตรวจพบปฏิกริยาจากท้องฟ้า !<br>ยังไม่แน่ใจเหมือนกันว่าเป็นอะไร<br>ระวังตัวกันให้ดีนะค้า !"""
Wave4_Talk#0,"""พบปฏิกริยาจากหลายจุดเลยค่าคราวนี้ !<br>ระวังกันให้ดีนะค้า<br>อย่าให้ถูกมันเล่นจุดอับเด็ดขาดล่ะ !"""
Wave5_Talk#0,"""ชุดใหม่มาอีกแล้วค่า !<br>ไม่แน่คราวนี้พวก Darker อาจส่งตัวกันมาด้วยก็ได้ !<br>ระวังกันให้ดีนะคะ !"""
Wave6_Talk#0,"""ชุดสุดท้ายซะ...เอ๋<br>ทำไมยังไม่หมดอีกล่ะเนี่ย...?<br>ยะ อย่าเพิ่งยอมแพ้กันนะค้า !"""
Wave7_Talk#0,"""หว๊าๆๆๆๆ !? มันอะไรกันคะเนี่ย !<br>ไม่เคยพบปฏิกริยารุนแรงขนาดนี้มาก่อนเลย !<br>รอบนี้ถ้าพลาดอาจถึงตายเลยนะคะ !"""
Wave8_Talk#0,"""สะ..ศัตรูท่าทางร้ายกาจสุดๆกำลังจะมาอีกแล้ว !<br>แต่ชุดนี้คงเป็นชุดสุดท้ายจริงๆแล้วค่ะ !<br>สู้ขาดใจไปเลยนะค้า !"""
Wave1_Talk_Cool#0,"""Crystal มักจะปรากฏขึ้นบริเวณมุมทั้ง 4 มากที่สุดค่ะ !<br>แล้วถ้าใช้ Catapult ก็จะยิ่งเก็บได้เร็วกว่าเดิมด้วยนะ !"""
Wave2_Talk_Cool#0,"""ถ้าปล่อย Defense Socket ที่ถูก Corrupt ไว้นานเกินไปล่ะก็<br>มันจะกลายเป็นแหล่งพลังงานให้กับ Darker นะคะ<br>กรุณาระวังด้วย !"""
Wave3_Talk_Cool#0,"""ที่ Mining Base นี้มีอุปกรณ์ช่วยเหลือให้ใช้มากมายเลยนะคะ !<br>ถ้ามีโอกาสให้ใช้ Burst Barrier หรือฟื้นฟูความทนทานไว้เลยค่ะ !"""
Wave4_Talk_Cool#0,"""โอ้ว ! ดูเหมือนพวก Crystal จะมีพลังงานสูงขึ้นนะคะ !<br>รีบไปเก็บรวบรวมมาเร็วเข้าเถอะค่ะ !"""
Wave5_Talk_Cool#0,"""ดูเหมือนจะโดน Corrupt ไม่มีหยุดเลยนะคะเนี่ย...<br>รีบฟื้นฟูสภาพของ Defense Socket ที่โดน Corrupt<br>ให้กลับมาใช้งานได้เร็วๆดีกว่าค่ะ !"""
Wave6_Talk_Cool#0,"""ตัวต่อไปท่าทางใหญ่สุดๆเลยค่ะ !<br>คนขับ A.I.S เตรียมตัวพร้อมรึยังคะ ?<br>ส่วนคนอื่นๆอย่าลืมใช้ Photon Laser Cannon ด้วยนะค้า !"""
Wave7_Talk_Cool#0,"""จบแล้วค่า !<br>ในที่สุดภารกิจก็เสร็จซะที...เอ๊ะ?<br>เดี๋ยวนะคะ ปฏิกริยานี้มัน..."""
Wave8_Talk_Cool#0,"""รีบรวบรวม Crystal ไว้ให้มากๆก่อนกองทัพชุดต่อไปจะมานะค้า !<br>เพราะคราวนี้...<br>แค่ดูเรดาห์ก็ขนลุกแล้วค่า !"""
Wave1_Talk#1,"""ダーカーが出現しましたー！<br>防衛ソケットへの侵食も確認。<br>全部まとめてやっつけちゃって下さい！"""
Wave2_Talk#1,"""ダーカーの砲台を確認！<br>A.I.Sを呼び出して<br>敵さんを撃退しちゃいましょう！"""
Wave3_Talk#1,"""上空に未確認反応を確認！<br>何か来るかもしれません。<br>気をつけて下さい！"""
Wave4_Talk#1,"""複数箇所からの反応がありますー！<br>同時に襲われないように<br>警戒、警戒ですよー！"""
Wave5_Talk#1,"""また新しい反応ですー！<br>ダーカーの障壁も発生するかも<br>しれません！\u3000要注意です！"""
Wave6_Talk#1,"""これが最後……にしては<br>なんだかまだ反応あるような……？<br>と、とにかく頑張ってください！"""
Wave7_Talk#1,"""わわっ、わわわっ！？\u3000何ですかこれ！<br>こんな強力な敵性反応、はじめてです！<br>すっごく、気をつけてください！"""
Wave8_Talk#1,"""ま、またすっごい強力な敵さんが<br>来るみたいです！\u3000でもきっとこれが<br>最後のはず！\u3000頑張ってくださいっ！"""
Wave1_Talk_Cool#1,"""正結晶はエリアの四隅にたくさん<br>出るみたいです！\u3000カタパルトを<br>使うと回収しやすいですよ！"""
Wave2_Talk_Cool#1,"""侵食されたソケットを放っておくと<br>ダーカーの砲台が発生しちゃうかも。<br>注意して下さい！"""
Wave3_Talk_Cool#1,"""この採掘基地は使える機能が<br>いっぱいです！\u3000バーストバリアや<br>耐久値回復も駆使して下さいね！"""
