11_voice_NPC_5050_101#0,"""โอเค ข้าได้อ่านรายงานแล้ว <br>เจ้าสามารถทำตามคำร้องในการผจญภัยได้ <br>เรากำลังรอสิ่งที่ยิ่งใหญ่กว่านี้จากเจ้า"""
text02#0,"""นั่นก็ตามที่ ARKS Code Reporting Section <br>บอกให้ข้าพูด แต่ตอนนี้ข้าจะพูดนอกเหนือจากนั้น <br>และจะไม่อยู่ในรายงาน"""
text03#0,"""พลังของ Automata ที่ส่งข้าม<br>มายัง Lost Sea น่าจะถูกกำจัด"""
text04#0,"""เจ้าตื่นเต้นสำหรับพื้นที่ใหม่ <br>แต่จงระวังตัวให้มาก"""
text05#0,"""เจ้าทำงานหนักกว่าจะมาถึงจุดนี้ <br>ข้าหวังว่าจะไม่ทำมันพัง"""
text100#0,"""เกี่ยวกับ [พลังโจมตีของศัตรู]"""
text101#0,"""ข้อมูลเกี่ยวกับ [พลังโจมตีของศัตรู]<br>การโจมตีของศัตรูก็เหมือนของผู้เล่น<br>คือมีทั้งการโจมตีแบบ [ประชิด] [ยิง] และ [เวทย์]<br><br>อย่างในแอเรีย [Lost Sea] ที่จะได้เจอหลังจากนี้<br>ศัตรูส่วนใหญ่จะใช้การโจมตีในรูปแบบ [ยิง]"""
text102#0,"""และถ้า<br>รับการโจมตีแบบ [ประชิด] ด้วย [ป้องกันประชิด]<br>รับการโจมตีแบบ [ยิง] ด้วย [ป้องกันยิง]<br>รับการโจมตีแบบ [เวทย์] ด้วย [ป้องกันเวทย์]<br>จะสามารถช่วยลดความเสียหายที่เกิดจากการโจมตีในรูปแบบนั้นๆได้"""
text103#0,"""นอกจากนั้น การติด [ShotResist]<br>ก็สามารถช่วยลดความเสียหายได้เช่นกัน<br><br>ลองใส่ [Sub/ShotResist a] ที่คุณได้รับจาก Cofy<br>แล้วสำรวจความแตกต่างดูสิคะ"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>探索許可の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""砂漠では、過酷な環境と闊歩する<br>強力な機甲種が、探索を阻みます。<br>一筋縄ではいかないエリアでしょう。"""
text04#1,"""貴方の無事を祈り、私からユニットと<br>簡単な助言を送ります。"""
text05#1,"""今まで、相当努力なされてきたはず。<br>それを無に帰すような真似は<br>避けて頂けると、嬉しいですね。"""
text100#1,"""『エネミーの攻撃力』について"""
text101#1,"""エネミーの攻撃力について説明します。<br>エネミーにもプレイヤーと同様に「打撃力」「射撃力」<br>「法撃力」が存在します。<br><br>この後向かう「砂漠」には<br>「射撃力」による攻撃を行うエネミーが多数存在します。"""
text102#1,"""「打撃力」には「打撃防御」<br>「射撃力」には「射撃防御」<br>「法撃力」には「法撃防御」<br>といった対応する防御力を上げることで<br>エネミーからのダメージを軽減することが可能です。"""
text103#1,"""他にも「ショットレジスト」の付いているユニットを<br>装備することで、ダメージの軽減が可能です。<br><br>コフィーから渡された<br>「サブ/ショットレジストａ」を装備して<br>有利な状況を作り出しましょう。"""
