IncidentName#0,"""Barrier Deactivation"""
LogPickupKey#0,"""$(0) เก็บ Info Key $(1)"""
TrialBeginMsg#0,"""รวบรวมกุญแจเพื่อปิดเครื่องป้องกัน!"""
TrialAbstract#0,"""จงหากุญแจ $(0) เพื่อหยุดการทำงานเครื่องป้องกัน!"""
IncidentName#1,"""障壁解除"""
LogPickupKey#1,"""$(0)が$(1)番の情報キーを拾いました。"""
TrialBeginMsg#1,"""障壁を開放するため、情報キーを収集せよ！"""
TrialAbstract#1,"""$(0)個、鍵を集めて障壁を解除せよ！"""
NpcComOnBegin#0,"""ม่านพลังถูกสร้างขึ้น! ท่านต้องใช้ Info Key เพื่อเปิดมัน<br>กำจัดศัตรูทั้งหมดที่พบขณะเก็บรวบรวมกุญแจ!"""
NpcComOnSuccess#0,"""/face2 เปิดม่านพลังได้แล้ว!<br>ขอบคุณทุกคนมาก!"""
NpcComOnFailure#0,"""ล้มเหลวในการเปิดม่านพลัง<br>ARKS ที่เหลือให้เตรียมตัวไว้"""
NpcComOnDispKey#0,"""พบตำแหน่งของ Info Key แล้ว<br>รีบไปเก็บมัน!"""
NpcComOnCollected#0,"""เก็บรวบรวม Info Key ครบแล้ว!<br>สามารถเปิดม่านพลังได้แล้ว!"""
NpcComOnBegin#1,"""障壁の起動を確認しました！<br>開放には情報キーが必要です。<br>掃討しつつ、キーを集めてください！"""
NpcComOnSuccess#1,"""/face2 障壁の開放を確認！<br>アークス各員の努力に感謝します！"""
NpcComOnFailure#1,"""障壁の開放失敗を確認。<br>残存のアークス各員は<br>周囲の警戒をお願いします。"""
NpcComOnDispKey#1,"""殲滅により情報キーの出現を確認！<br>確保に努めてください！"""
NpcComOnCollected#1,"""情報キーの結集を確認！<br>障壁が開放可能となりました！"""
NpcComOnBegin#2,"""โธ่ ม่านพลังเริ่มทำงานแล้ว<br>เราต้องใช้ Info Key เพื่อเปิดมันออก<br>ตามหากุญแจโดยเร็ว"""
NpcComOnSuccess#2,"""ม่านพลังถูกเปิดแล้ว<br>ทำได้ดีมาก"""
NpcComOnFailure#2,"""/face6 ...ภารกิจล้มเหลวซินะ<br>ช่วยไม่ได้ กลับไปประจำหน้าที่ตัวเองเถอะ"""
NpcComOnDispKey#2,"""ดูเหมือนเราจะพบ Info Key แล้ว<br>รีบไปเก็บมันมา"""
NpcComOnCollected#2,"""เราได้ Info Key ทั้งหมดแล้ว<br>เราสามารถเปิดม่านพลังได้แล้ว"""
NpcComOnBegin#3,"""ちっ、障壁が起動したか……<br>開放には情報キーが必要だ。<br>急いで収集しろ。"""
NpcComOnSuccess#3,"""障壁の開放を確認した。<br>よくやった。"""
NpcComOnFailure#3,"""/face6 ……開放失敗だな。<br>仕方がない、通常任務に戻れ。"""
NpcComOnDispKey#3,"""よし、情報キーが出現したようだ。<br>回収してくるといい。"""
NpcComOnCollected#3,"""情報キーが集まったようだな。<br>障壁を開放できるぞ。"""
NpcComOnBegin#4,"""ไม่นะ! ม่านพลังทำงานแล้ว!<br>มีทางเดียวที่จะเปิดมันได้คือ Info Key!"""
NpcComOnSuccess#4,"""/face2 เปิดม่านพลังได้แล้ว!<br>ทำได้ดีมาก!"""
NpcComOnFailure#4,"""/face4 เราไม่สามารถปิดม่านพลังได้<br>เอาล่ะ กลับไปประจำหน้าที่ของตัวเองได้แล้ว"""
NpcComOnDispKey#4,"""Info Key ปรากฏขึ้นมาแล้ว!<br>รีบไปเก็บมันเร็วเข้า!"""
NpcComOnCollected#4,"""เก็บรวบรวม Info Key ทั้งหมดแล้ว!<br>สามารถเปิดม่านพลังได้แล้ว!"""
NpcComOnBegin#5,"""わわっ、障壁が起動しちゃいました！<br>開放には情報キーの収集が<br>必要なんですー！"""
NpcComOnSuccess#5,"""/face2 障壁、開放されましたー！<br>おつかれさまでしたー！"""
NpcComOnFailure#5,"""/face4 開放失敗ですぅー……<br>しょうがありません、通常の<br>任務に戻りましょうー……"""
NpcComOnDispKey#5,"""情報キー、出現したようですー！<br>回収しちゃって下さいー！"""
NpcComOnCollected#5,"""情報キー収集完了ですー！<br>障壁、開放できますよー！"""
