11_voice_NPC_5050_104#0,"""แบบสำรวจความเห็นคนน่ารักบน ARKSShip ของแมวดำ...?"""
Kuro_01_020#0,"""ตอนนี้ดิฉันกำลังปฏิบัติหน้าที่อยู่<br>คงไม่สะดวกหรอกค่ะ"""
Kuro_01_030#0,"""...แต่ถ้า ขอพูดอะไรซักอย่างคงได้มังคะ"""
Kuro_01_040#0,"""เวลาเดินสวนกัน อยากให้เลิกตะโกนว่า<br>\""พี่สาวจ๊า สู้ๆนะจ๊ะเมี๊ยว\"" ซักทีน่ะค่ะ"""
Kuro_01_050#0,"""แค่นี้ล่ะค่ะ<br>บังเอิญดิฉันกำลังยุ่งอยู่ ขอตัวก่อนนะคะ"""
11_voice_NPC_5050_104#1,"""アークス・シップのカワイコちゃんたち<br>による、クロネコの評価集め……？"""
Kuro_01_020#1,"""任務中は私語を謹んでおります。<br>あしからず。"""
Kuro_01_030#1,"""……ただ<br>強いて言わせていただきますと……"""
Kuro_01_040#1,"""私が前を通るたびに<br>「オネーサン、踏んでくださいみャ！」<br>と叫ぶのはやめてほしいものです。"""
Kuro_01_050#1,"""以上です。<br>それでは任務がありますので<br>これにて。"""
Npc50_01_010#0,"""อยู่ระหว่างปฏิบัติหน้าที่ค่ะ <br>ถ้าจะคุยเรื่องอื่นที่ไม่เกี่ยวข้องกับภารกิจ <br>ดิฉันคงไม่สะดวกหรอกค่ะ"""
Npc50_01_010#1,"""仕事中なので、任務外の会話は<br>極力避けています。あしからず。"""
Npc50_02_010#0,"""อยู่ระหว่างปฏิบัติหน้าที่ค่ะ <br>ถ้าจะคุยเรื่องอื่นที่ไม่เกี่ยวข้องกับภารกิจ <br>ดิฉันคงไม่สะดวกหรอกค่ะ"""
Npc50_02_010#1,"""仕事中なので、任務外の会話は<br>極力避けています。あしからず。"""
Npc50_03_010#0,"""เรื่องกฏระเบียบของ ARKS เราพยายามให้มีข้อบังคับน้อย<br>ที่สุดในการทำภารกิจ เพื่อเพิ่มแรงจูงใจในการทำงานค่ะ"""
Npc50_03_020#0,"""ในทางกลับกัน เราจะเข้มงวดกับเรื่องกับปลดล็อค<br>สิทธิ์ต่างๆแทน เพื่อให้เหล่า ARKS ต้องพยายาม<br>พัฒนาตนเอง เป็นวิธีใช้ไม้อ่อนคู่ไม้แข็งค่ะ"""
Npc50_03_010#1,"""アークスの規律は、可能な限りゆるく<br>自由度が高い状態にしています。<br>誰もがその職務に憧れるように。"""
Npc50_03_020#1,"""その分、能力解放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_04_010#0,"""เรื่องกฏระเบียบของ ARKS เราพยายามให้มีข้อบังคับน้อย<br>ที่สุดในการทำภารกิจ เพื่อเพิ่มแรงจูงใจในการทำงานค่ะ"""
Npc50_04_020#0,"""ในทางกลับกัน เราจะเข้มงวดกับเรื่องกับปลดล็อค<br>สิทธิ์ต่างๆแทน เพื่อให้เหล่า ARKS ต้องพยายาม<br>พัฒนาตนเอง เป็นวิธีใช้ไม้อ่อนคู่ไม้แข็งค่ะ"""
Npc50_04_010#1,"""アークスの規律は、可能な限りゆるく<br>自由度が高い状態にしています。<br>誰もがその職務に憧れるように。"""
Npc50_04_020#1,"""その分、能力解放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_05_010#0,"""เรื่องกฏระเบียบของ ARKS เราพยายามให้มีข้อบังคับน้อย<br>ที่สุดในการทำภารกิจ เพื่อเพิ่มแรงจูงใจในการทำงานค่ะ"""
Npc50_05_020#0,"""ในทางกลับกัน เราจะเข้มงวดกับเรื่องกับปลดล็อค<br>สิทธิ์ต่างๆแทน เพื่อให้เหล่า ARKS ต้องพยายาม<br>พัฒนาตนเอง เป็นวิธีใช้ไม้อ่อนคู่ไม้แข็งค่ะ"""
Npc50_05_010#1,"""アークスの規律は、可能な限りゆるく<br>自由度が高い状態にしています。<br>誰もがその職務に憧れるように。"""
Npc50_05_020#1,"""その分、能力開放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_06_010#0,"""ถ้าให้พูดถึงแบบอย่างของ ARKS ล่ะก็ย่อมต้อง<br>หมายถึง Six Pillar แต่พวกเขาถูกเลือกขึ้นมาด้วย<br>คุณสมบัติทางด้านความสามารถอย่างเดียวเท่านั้น"""
Npc50_06_020#0,"""อย่างไรก็ดี เนื่องจากกลุ่มนี้เพิ่งตั้งมาได้ไม่ถึงสี่สิบปี<br>ทำให้สมาชิกรุ่นปัจจุบัน <br>เป็นคนหนุ่มสาวที่นิยมความรุนแรงเสียส่วนใหญ่"""
Npc50_06_030#0,"""แต่ถึงกระนั้นยังไงเสีย <br>เจ้าหน้าที่อย่างพวกดิฉันก็ยังคงต้อง<br>ให้ความเคารพพวกเขาตามกฏอย่างหลีกเลี่ยงไม่ได้ค่ะ"""
Npc50_06_010#1,"""アークスにとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>選ばれています。"""
Npc50_06_020#1,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_06_030#1,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
Npc50_07_010#0,"""ถ้าให้พูดถึงแบบอย่างของ ARKS ล่ะก็ย่อมต้อง<br>หมายถึง Six Pillar แต่พวกเขาถูกเลือกขึ้นมาด้วย<br>คุณสมบัติทางด้านความสามารถอย่างเดียวเท่านั้น"""
Npc50_07_020#0,"""อย่างไรก็ดี เนื่องจากกลุ่มนี้เพิ่งตั้งมาได้ไม่ถึงสี่สิบปี<br>ทำให้สมาชิกรุ่นปัจจุบัน <br>เป็นคนหนุ่มสาวที่นิยมความรุนแรงเสียส่วนใหญ่"""
Npc50_07_030#0,"""แต่ถึงกระนั้นยังไงเสีย <br>เจ้าหน้าที่อย่างพวกดิฉันก็ยังคงต้อง<br>ให้ความเคารพพวกเขาตามกฏอย่างหลีกเลี่ยงไม่ได้ค่ะ"""
Npc50_07_010#1,"""アークスにとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>選ばれています。"""
Npc50_07_020#1,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_07_030#1,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
Npc50_08_010#0,"""ถ้าให้พูดถึงแบบอย่างของ ARKS ล่ะก็ย่อมต้อง<br>หมายถึง Six Pillar แต่พวกเขาถูกเลือกขึ้นมาด้วย<br>คุณสมบัติทางด้านความสามารถอย่างเดียวเท่านั้น"""
Npc50_08_020#0,"""อย่างไรก็ดี เนื่องจากกลุ่มนี้เพิ่งตั้งมาได้ไม่ถึงสี่สิบปี<br>ทำให้สมาชิกรุ่นปัจจุบัน <br>เป็นคนหนุ่มสาวที่นิยมความรุนแรงเสียส่วนใหญ่"""
Npc50_08_030#0,"""แต่ถึงกระนั้นยังไงเสีย <br>เจ้าหน้าที่อย่างพวกดิฉันก็ยังคงต้อง<br>ให้ความเคารพพวกเขาตามกฏอย่างหลีกเลี่ยงไม่ได้ค่ะ"""
Npc50_08_010#1,"""アークスにとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>行われています。"""
Npc50_08_020#1,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_08_030#1,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
11_voice_NPC_5050_104#2,"""ข้อมูลเกี่ยวกับ Dark Falz นั้น<br>ดิฉันมีไม่ค่อยละเอียดนักหรอกนะคะ"""
Npc50_mb9_020#0,"""จึงทำให้ไม่สามารถตอบข้อสงสัยต่างๆได้อย่างชัดเจน<br>...ต้องขออภัยด้วยจริงๆค่ะ"""
11_voice_NPC_5050_104#3,"""かのダークファルスについての情報は<br>私もほとんど持ち合わせていません。"""
Npc50_mb9_020#1,"""ですから、質問があったとしても<br>お答えすることができないんです。<br>……申し訳ありません。"""
11_voice_NPC_5050_104#4,"""ข้อมูลเกี่ยวกับ Dark Falz นั้น<br>ดิฉันมีไม่ค่อยละเอียดนักหรอกนะคะ"""
Npc50_mb10_020#0,"""จึงทำให้ไม่สามารถตอบข้อสงสัยต่างๆได้อย่างชัดเจน<br>...ต้องขออภัยด้วยจริงๆค่ะ"""
11_voice_NPC_5050_104#5,"""かのダークファルスについての情報は<br>私もほとんど持ち合わせていません。"""
Npc50_mb10_020#1,"""ですから、質問があったとしても<br>お答えすることができないんです。<br>……申し訳ありません。"""
11_voice_NPC_5050_100#0,"""โดยระเบียบของงานประลองฝีมือเองนั้น<br>คุณสามารถลงสมัครกี่ครั้งก็ได้ค่ะ"""
Npc50_mb11_020#0,"""ส่วนกติกานั้น ดูเหมือนจะต่างกันออกไปในแต่ละครั้ง <br>ทำให้ดิฉันไม่สามารถให้รายละเอียดได้ค่ะ"""
11_voice_NPC_5050_100#1,"""戦技大会という試み自体は<br>幾度か開かれたことがあったそうです。"""
Npc50_mb11_020#1,"""ルールについては、開催毎に<br>異なっていたそうなので<br>あまり参考にはなりませんけどね。"""
11_voice_NPC_5050_100#2,"""ข้อมูลแบ็คอัพของ ARKS เรามีการนำไปพัฒนาทุกๆวันค่ะ<br>เพื่อนำมาวิจัยเป็น Class ใหม่ หรือสกิลใหม่ๆยังไงล่ะคะ"""
Npc50_mb12_020#0,"""ที่จริงก็อยากนำมาติดตั้งให้เร็วๆหรอกค่ะ แต่เมื่อต้อง<br>คำนึงถึงความปลอดภัย นี่จึงนับว่ารีบที่สุดแล้วล่ะค่ะ<br>...เป็นเรื่องช่วยไม่ได้นะคะ ขออภัยจริงๆค่ะ"""
11_voice_NPC_5050_100#3,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb12_020#1,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_100#4,"""ข้อมูลแบ็คอัพของ ARKS เรามีการนำไปพัฒนาทุกๆวันค่ะ<br>เพื่อนำมาวิจัยเป็น Class ใหม่ หรือสกิลใหม่ๆยังไงล่ะคะ"""
Npc50_mb13_020#0,"""ที่จริงก็อยากนำมาติดตั้งให้เร็วๆหรอกค่ะ แต่เมื่อต้อง<br>คำนึงถึงความปลอดภัย นี่จึงนับว่ารีบที่สุดแล้วล่ะค่ะ<br>...เป็นเรื่องช่วยไม่ได้นะคะ ขออภัยจริงๆค่ะ"""
11_voice_NPC_5050_100#5,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb13_020#1,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_100#6,"""ข้อมูลแบ็คอัพของ ARKS เรามีการนำไปพัฒนาทุกๆวันค่ะ<br>เพื่อนำมาวิจัยเป็น Class ใหม่ หรือสกิลใหม่ๆยังไงล่ะคะ"""
Npc50_mb14_020#0,"""ที่จริงก็อยากนำมาติดตั้งให้เร็วๆหรอกค่ะ แต่เมื่อต้อง<br>คำนึงถึงความปลอดภัย นี่จึงนับว่ารีบที่สุดแล้วล่ะค่ะ<br>...เป็นเรื่องช่วยไม่ได้นะคะ ขออภัยจริงๆค่ะ"""
11_voice_NPC_5050_100#7,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb14_020#1,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_101#0,"""เกี่ยวกับระดับการฝึกฝนของ ARKS <br>แต่ละคนนั้น หากวาดเป็นกราฟก็จะ<br>เห็นว่าพุ่งสูงขึ้นเร็วจนน่าตกใจเลยค่ะ"""
Npc50_mb15_020#0,"""การที่มีคนที่มีฝีมือเพิ่มมากขึ้น นั่นเป็น<br>เรื่องที่น่าดีใจสำหรับองค์กรเป็นอย่างมากค่ะ"""
Npc50_mb15_030#0,"""การที่จะไม่ให้มีใครต้องสังเวยชีวิตเลยนั้น<br>อาจเป็นเรื่องที่ฟังดูเอาแต่ได้ ทว่าชั้นก็คิด<br>อยากจะให้มันเป็นใกล้เคียงเช่นนั้นที่สุดค่ะ"""
11_voice_NPC_5050_101#1,"""アークス個々の練度については<br>めまぐるしい上昇曲線を描いています。"""
Npc50_mb15_020#1,"""実力者が増えてきているというのは<br>組織としてとても喜ばしいことです。"""
Npc50_mb15_030#1,"""誰も犠牲にならずに、というのは<br>虫のいい話ですが、できる限り<br>それに近づいていければ、と思います。"""
11_voice_NPC_5050_100#8,"""......เกี่ยวกับสถานการณ์การควบคุมของ ARKS นั้น<br>ปัจจุบันยังอยู่ในระหว่างการดำเนินการปรับปรุงค่ะ"""
Npc50_mb16zeno_020#0,"""ทว่า กรุณาสบายใจเถอะค่ะ<br>มันจะไม่เกิดอะไรที่เป็นผลเสียกับท่าน<br>ขึ้นอีกแล้ว ไม่เกิดขึ้นอย่างเด็ดขาดค่ะ"""
11_voice_NPC_5050_100#9,"""……アークスの管理状況については<br>現在も調整を行っている最中です。"""
Npc50_mb16zeno_020#1,"""でも、安心して下さい。<br>もう貴方の不利益になるようなことは<br>起きません。絶対に、起こさせません。"""
