name01#0,"""Astalte"""
11_voice_shop_411#0,"""ท่าน<%me><br>ขออภัยที่ติดต่อมากระทันหัน"""
text02#0,"""ยินดีที่ได้รู้จัก<br>เราชื่อ Astalte<br>เป็นเจ้าหน้าที่อบรมเบื้องต้นให้กับเหล่า ARKS"""
text03#0,"""หลังจากนี้เราคงได้พบกันอีกบ่อยๆ"""
text04#0,"""ถ้าข้อมูลที่เรามีนั้นถูกต้อง<br>ท่านเป็น ARKS ที่มีฝีมือ<br>สูงส่งติดตัวอยู่แล้วใช่ไหม"""
text05#0,"""ถ้าอย่างนั้นจะขออธิบายอย่างรวบรัดนะ<br>ขณะนี้โปรแกรมฝึกสอนภาคปฏิบัติ <br>[ARKS Road] ได้สร้างเสร็จแล้ว"""
text06#0,"""ซึ่งที่จริงโดยพื้นฐานแล้ว<br>[ARKS Road] เป็นโปรแกรม<br>สำหรับฝึกฝนเหล่า ARKS มือใหม่"""
text07#0,"""แต่สำหรับผู้มีประสบการณ์โชกโชนอย่างท่านก็<br>สามารถใช้มันได้ เพราะได้มีการปรับปรุงประสิทธิ<br>ภาพเพื่อให้มีความยากเหมาะสมกับระดับฝีมือ"""
text08#0,"""ถ้าหากท่านสนใจ ทางเรา<br>ได้เตรียม StampCard ไว้ให้เรียบร้อยแล้ว<br>กรุณาแวะมารับได้ที่เรานะ"""
name01#1,"""アスタルテ"""
11_voice_shop_411#1,"""<%me>さん。<br>突然の連絡、失礼いたします。"""
text02#1,"""はじめまして。<br>私はアスタルテ。<br>アークスの基礎教導担当官となります。"""
text03#1,"""以後、お見知りおきを。"""
text04#1,"""私の情報が正しければ<br>貴方はすでに相当な力を持った<br>アークスのようですね。"""
text05#1,"""では、情報だけお聞き下さい。<br>このたび、実践型教導プログラム<br>「アークスロード」が構築されました。"""
text06#1,"""「アークスロード」というのは<br>基本的には、新人アークスへの教導を<br>目的としたプログラムです。"""
text07#1,"""とはいえ、熟練の方の参加も歓迎です。<br>その方が今後の改良にも繋がりますので<br>積極的な参加を期待しています。"""
text08#1,"""興味がありましたら、カードを<br>お渡ししますので、私の所まで<br>受け取りに来て下さい。"""
