st_054070_0010#0,"""威倫的子民<br>梅爾馮希娜和哥德哈特。<br>守護輝士與二人一起出發。"""
st_054070_0020#0,"""雖說從人數來看應該是很熱鬧的<br>但是在路途中卻沒有什麼對話。"""
st_054070_0030#0,"""那個，哥德哈特。<br>這不是在休息嘛，不來聊聊天麼？"""
st_054070_0040#0,"""哈，別搞笑了。<br>沒有什麼好說的。"""
st_054070_0050#0,"""喂，哥德哈特。"""
st_054070_0055#0,"""對不起，他就是那種冷淡粗暴的，自己走自己的路的人。"""
st_054070_0060#0,"""不，沒想那麼多……<br>不過說起來，你們兩人關係真好呢。<br>是什麼關係呢？"""
st_054070_0070#0,"""嗚嗯嗯，那是……"""
st_054070_0080#0,"""我和希娜都是魔人兵的實驗素體。"""
st_054070_0090#0,"""實驗素體……？"""
st_054070_0100#0,"""就像昆特用徒花召喚魔神城一樣<br>貝倫也有固有魔法。"""
st_054070_0110#0,"""叫做魔人化的魔法。<br>讓魔力涌入人體，強化肉體的魔法。"""
st_054070_0120#0,"""理所當然，魔法的使用素養不高的話<br>是沒辦法使用的。<br>所以只有一部分人可以使用。"""
st_054070_0130#0,"""但是，由於發現了徒花<br>所以狀況也改變了。"""
st_054070_0140#0,"""因爲有徒花的支援<br>只要具備使用魔術的素養<br>其多寡就不再是問題。"""
st_054070_0150#0,"""……不過，相比於能使用魔法的人<br>還是不能使用的人占得多得多。"""
st_054070_0160#0,"""因此，根據皇帝的命令<br>推行的就是魔人兵計劃。"""
st_054070_0170#0,"""將沒有魔法素養的人們<br>變成強大的戰士，這就是<br>皇帝的計劃。哈哈。"""
st_054070_0180#0,"""像夢一樣叫做徒花的可惡的花<br>實現了那個無法置信的願望。"""
st_054070_0190#0,"""……沒有魔法素養的人<br>被強硬地進行了魔人化。<br>恐怕，身體也被擺弄了。"""
st_054070_0200#0,"""吼，很能體會嘛，小鬼。<br>怎麼，有那樣的經驗？"""
st_054070_0210#0,"""不過，做了那種事的話。<br>身體應該會撐不住吧。"""
st_054070_0220#0,"""哈，哈哈哈！　就是啊，小鬼！<br>理解得很明白嘛。"""
st_054070_0230#0,"""但是，沒看到注入了<br>過剩的魔力的人有排斥現象吧？<br>有各種各樣的排斥反應麼？"""
st_054070_0240#0,"""……我和哥德哈特是<br>那魔人兵計劃的第一期實驗素體。<br>從設施逃出來的逃亡者。"""
st_054070_0250#0,"""本來有四千九百六十人的<br>但是現在還活着的就只有我們了。<br>……其他的人應該都死了。"""
st_054070_0260#0,"""請等一下<br>如果你們兩人的力量都是魔人化的結果的話<br>這樣下去生命豈不是有危險……"""
st_054070_0270#0,"""哈，這種被肆意擺弄<br>蟲子一樣的生命，怎麼樣都無所謂啊！"""
st_054070_0280#0,"""我的目的只有一個，就是那個皇帝一人。<br>只有那傢伙，要用這雙手打倒。"""
st_054070_0290#0,"""玩弄我和希娜，還有大家<br>要讓他好好償還這份罪過的代價<br>用他的生命。"""
st_054070_0300#0,"""……吶，守護輝士啊。<br>不要像優等生一樣說什麼「生命是最重要的」<br>這樣漂亮的話喲？"""
st_054070_0310#0,"""要打倒皇帝的心情是一樣的吧？<br>能使用的東西不管是什麼都要用上。<br>但是，要是妨礙的話，會毫不猶豫地摧毀。"""
st_054070_0320#0,"""……對不起，那麼粗暴的言語。<br>但是，我的想法也是那樣的。"""
st_054070_0330#0,"""這條命是爲了，洗刷被皇帝<br>隨意擺弄而被殺掉的大家的冤屈<br>而存在的……"""
st_054070_0340#0,"""……我，和哥德哈特都會戰鬥。<br>爲了殺死皇帝。"""
st_054070_0350#0,"""…………"""
st_054070_0360#0,"""１．恐怖麼？"""
st_054070_0370#0,"""２．怎麼了？"""
st_054070_0380#0,"""啊，不好意思，發呆了。<br>雖說是有點兒恐怖<br>但是有更在意的地方……"""
st_054070_0390#0,"""啊，不好意思，發呆了。<br>有點兒很在意的地方……"""
st_054070_0400#0,"""剛才說的魔人兵的事……有相似的東西<br>光子族製作ARKS的那時候的事。"""
st_054070_0410#0,"""劫持肉體強健的生物<br>改造他們的遺傳因子，注入光子<br>強行處理……"""
st_054070_0420#0,"""到安定地量產爲止的過程裏<br>有很多的犧牲的記錄。<br>……真的是值得唾棄的行爲。"""
st_054070_0430#0,"""雖說是在歐米茄，<br>但是如果那個又重新發生的話……<br>……必須要阻止它。"""
