st_044075_0001#0,"""A.D.2028/xx/xx/xx:xx"""
st_044075_0010#0,"""……說起來，明明拉斯維加斯這裡<br>都遭受好多次襲擊了，為什麼聖母她<br>不直接攻到地下來呢？"""
st_044075_0020#0,"""我看貝托爾他們幾個人的勢頭<br>還挺像是會來炸地下的那種<br>所以感覺有點意外，或者說是有點擔心……"""
st_044075_0030#0,"""因為在東京鬧事的那個爛導演<br>純粹只是個例外吧。<br>他好像就是因為這個原因，才被就地正法的。"""
st_044075_0040#0,"""這個嘛……聖母星團好像<br>有意在避免對地球造成損害。<br>他們確實有著這樣的傾向。"""
st_044075_0050#0,"""而且，就算他們有想要攻來的打算<br>可能也並不知道我們這裡地下的準確坐標吧。"""
st_044075_0060#0,"""簡而言之，就是比起對廣範圍造成損害<br>還是鬧點小動靜，引他們過來比較快。"""
st_044075_0070#0,"""不過，畢竟他們每次都會跟我們打伏擊<br>所以就算他們耐不住性子了<br>其實也算不上奇怪……"""
st_044075_0080#0,"""感知到了幻創種的反應！<br>……而且，還有幾名人類的反應。"""
st_044075_0090#0,"""人類的反應……！"""
st_044075_0100#0,"""真是前腳剛提，後腳就到啊。<br>……成吧，去迎擊一下他們就行了。"""
st_044075_0110#0,"""炎雅，我知道多半跟你說什麼都沒用<br>不過我還是要說一句。小心點。"""
st_044075_0120#0,"""你要是想給我加油打氣，那就照直說嘛。"""
st_044075_0130#0,"""……哥，我也要去！"""
st_044075_0140#0,"""……這次可是要跟人類幹架。<br>而且，和貝托爾那時候不一樣<br>是真傢伙硬碰硬。"""
st_044075_0150#0,"""就算是這樣你也能戰鬥嗎？<br>你能砍得了人麼？"""
st_044075_0160#0,"""……當、當然可以啊！<br>什麼聖母星團<br>我會把他們給全都幹翻的！"""
skit01#0,"""Why are you there?"""
skit02#0,"""悲哀的重逢"""
