Common#0,"""アクセス"""
Npc#0,"""話す"""
Gather#0,"""とる"""
Sit#0,"""座る"""
TransferSingle#0,"""テレポート"""
TransferMultiStart#0,"""テレポーター起動"""
TransferMultiStop#0,"""テレポート中断"""
ItemStorage#0,"""倉庫にアクセス"""
Jump#0,"""ジャンプ"""
DivaAccess#0,"""カメラ切り替え"""
GazeCamera#0,"""対象を注視する"""
ReturnNormalCamera#0,"""長押しで戻る"""
Pickup#0,"""拾う"""
FloatingBoardRide#0,"""フローティングボード"""
FieldRace#0,"""フィールドレース"""
Door_open#0,"""開ける"""
Door_close#0,"""閉める"""
Sleep#0,"""横になる"""
Bath#0,"""入浴する"""
Shower#0,"""シャワーを浴びる"""
Edit#0,"""編集する"""
ToStiaSection_1#0,"""スティア外縁部へ"""
ToStiaSection_2#0,"""ドライゼンプラントへ"""
ToStiaSection_3#0,"""メディオラ外郭第２区へ"""
ToStiaSection_4#0,"""ノイゼンプラントへ"""
ToStiaSection_5#0,"""メディオラ外郭第１区へ"""
Ignite#0,"""点火する"""
MarsBattery#0,"""M.A.R.S.バッテリーを回復"""
