name_7197#0,"""シャンレイ"""
ssn_005140_0001#0,"""新しく来られた方ですね。はじめまして。"""
ssn_005140_0002#0,"""グイーデンさんから、基礎を学んでいるところなんですよね。<br>それが一段落しましたら、またここに来てください。"""
ssn_005140_0101#0,"""よく来てくれました。<br>私はシャンレイと申します。ガンナー教導官です。"""
ssn_005140_0102#0,"""グイーデンさんから話はうかがっています。<br>ガンナーについて、お教えしましょうか？"""
ssn_005140_0151#0,"""どうやらガンナーではないようですね。"""
ssn_005140_0152#0,"""訓練したいなら”クラスカウンター”で<br>クラスをガンナーにしてきてください。"""
ssn_005140_0153#0,"""それと、ガンナーのクラススキル習得も忘れないでくださいね。"""
ssn_005140_0301#0,"""そうですか……。<br>もしガンナーのことを学びたくなったら、また来てください。"""
ssn_005140_0103#0,"""ガンナーは近距離からの射撃に長けたクラスです。<br>空中での機動力が高いのも特徴といえます。"""
ssn_005140_0104#0,"""注目すべきクラススキルは、“チェイントリガー”ですね。"""
ssn_005140_0105#0,"""チェイントリガーを発動させたら、エネミーに攻撃を連続ヒットさせ、<br>強力なチェインフィニッシュを狙います。"""
ssn_005140_0106#0,"""それを基本にして、他のスキルも併用していくのがいいでしょう。<br>そうですね……特に“チェインブースト”がオススメですよ。"""
ssn_005140_0107#0,"""まずは、実戦で試してみてください。<br>訓練の課題を出しますね。"""
ssn_005140_0201#0,"""お疲れさまでした。<br>その様子だと、手応えあったようですね。"""
ssn_005140_0202#0,"""戦いのポイントは、やはりクラススキルです。<br>スキルの使い方次第で、戦いの幅はどんどん広がりますので。"""
ssn_005140_0203#0,"""頑張って、腕を磨いていってくださいね。"""
