text01001#0,"""こんにちはっ！<br>記念行事の季節がやってきたね！"""
text01002#0,"""今回のお祝いイベントは<br>みんなで楽しく思い出を振り返る<br>企画にしようかなって考えてるの！"""
11_voice_NPC_5097_100#0,"""それで取材やアイディア出しを<br>頑張ってるとこなんだけど……<br>手伝ってもらえたら嬉しいなっ！"""
text01003#0,"""てなわけで、いろいろと<br>協力してもらえたら嬉しいなぁ……！"""
text02001#0,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5097_100#1,"""貴方のおかげで、いつも大助かりなの！<br>今回も頼りにしてるけど<br>無理だけはしないでね！"""
text02002#0,"""あ、でも無理はしないでね！<br>せっかくの夏だし、休みながらも<br>楽しんでおかなくちゃ損だよ！"""
text03001#0,"""アークスは今、大変な状況なんだけど<br>せめて、お祝いイベントの時だけでも<br>明るい顔になってほしいなっ！"""
11_voice_NPC_5097_101#0,"""みんなで過ごす<br>楽しい時間のために<br>イベントの企画、頑張るよー！"""
11_voice_NPC_5097_105#0,"""うう……あつい、あついよ！<br>夏は楽しいことが盛りだくさんだけど<br>溶けそうになっちゃうよねー！"""
text03002#0,"""それなのに<br>お願いを聞いてくれてありがとう！<br>水分補給と休憩も忘れずに、ね！"""
11_voice_NPC_5097_100#2,"""今回もイベントやって<br>みんなで盛大に祝ってパーッと騒いで<br>楽しい思い出にしたいねっ！"""
text04002#0,"""準備している間でも<br>みんなの喜ぶ顔が思い浮かぶから<br>ワクワクするんだー！"""
11_voice_NPC_5097_104#0,"""あれもこれも、やってみたい……！<br>イベントの計画で頭がいっぱいだよ！"""
11_voice_NPC_5097_101#1,"""たっくさんのお願いを聞いてくれて<br>本当に、ほんっとーにありがとう！"""
text05002#0,"""あれもこれもバッチリ安心！<br>最高のイベントになる予感がするよ！"""
11_voice_NPC_5097_100#3,"""お祝いムードも<br>どんどん盛り上げていくから<br>楽しみにしててねっ！"""
text05003#0,"""本当に、本当におつかれさまっ！<br>夏の思い出を飾る最高のイベント……<br>みんなで楽しんでいきたいねっ！"""
