un_012070_0001#0,"""???"""
un_012070_0010#0,"""...อ๊ะ ไม่ต้องกังวลหรอกค่ะ<br>ชั้นแค่มาสังเกตการณ์<br>การต่อสู้ของท่านเท่านั้น"""
un_012070_0020#0,"""จะว่าไป... ก็อย่างที่คิดจริงๆ<br>ไม่ใช่แค่ประสาทสัมผัสที่พิเศษนั่น อย่างอื่น<br>ทั้งพลังและความสามารถก็สูงเกิน ARKS ทั่วไปจริงๆ..."""
un_012070_0030#0,"""รู้สึกอุ่นใจที่เป็น ARKS เหมือนกันขึ้นมาเลยค่ะ..."""
un_012070_0040#0,"""...อ๊ะ ขอโทษที่แนะนำตัวเองช้าไป<br>ที่จริง ชั้นเองก็เป็น ARKS คนนึงค่ะ"""
un_012070_0050#0,"""โดยหลักการแล้ว ท่านกับชั้น<br>ก็จัดว่าอยู่ฝ่ายเดียวกันนะคะ<br>เพราะฉะนั้น ไม่ต้องระแวงชั้นหรอกค่ะ"""
un_012070_0060#0,"""เพียงแค่นี้ชั้นก็พอรู้อะไรดีขึ้นบ้างแล้ว<br>ขอตัว"""
un_012070_0070#0,"""A.P.238/4/5"""
un_012070_0001#1,"""？？？"""
un_012070_0010#1,"""……あ、おかまいなく。<br>戦闘機動の参考になればと<br>観察していただけですから。"""
un_012070_0020#1,"""しかし……なるほど。<br>感覚の鋭敏さだけでなく、その他の<br>能力も非常に高くまとまっている……"""
un_012070_0030#1,"""同じアークスとしては心強い<br>ですが……"""
un_012070_0040#1,"""……あ、申し上げていませんでしたね。<br>わたしも一応アークスです。"""
un_012070_0050#1,"""基本的には、わたしとあなたは<br>仲間という枠に入ります。<br>ですから、警戒は無用ですよ。"""
un_012070_0060#1,"""観察はもう十分です。<br>では。"""
un_012070_0070#1,"""A.P.238/4/5"""
