msc_014330_5010#0,"""はっ!!どりゃぁ、いっけぇ"""
msc_014330_5020#0,"""ふっ！"""
msc_014330_5030#0,"""うっ！"""
msc_014330_5040#0,"""たっ！"""
msc_014330_5050#0,"""はっ！"""
msc_014330_5060#0,"""やっ！"""
msc_014330_5070#0,"""ふっ！"""
msc_014330_5080#0,"""くっ！"""
msc_014330_5100#0,"""うっ！"""
msc_014330_0010#0,"""……え!?"""
msc_014330_5110#0,"""うぉぉぉぉぉ!!"""
msc_014330_5120#0,"""くっ！"""
msc_014330_5130#0,"""くっ。"""
msc_014330_0020#0,"""ぶ、無事ですか……。<br>良かった……。"""
msc_014330_0030#0,"""良かったって……どうして!?<br>どうしてこんな！\u3000私なんかをかばって！"""
msc_014330_0040#0,"""マノンはあたしが！<br>キミはグレンを助けて！"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
