name01#0,"""シエラ"""
text01#0,"""A.I.Sヴェガの操作にはなれましたか？<br>それではタイムの計測を始めますよ。"""
text02#0,"""出現するすべてのターゲットを<br>破壊してください！<br>よ～い・・・どん！"""
text100#0,"""・<%Jump>で上昇、・裏パレット<%PhotonArts>で下降。<br>ステップ後に移動入力すると<br>高速移動。"""
text100b#0,"""<%Jump>で上昇、<%MainPaletteC>で下降<br>ステップ後に移動入力すると<br>高速移動。"""
text200#0,"""・<%NormalAttack>で銃による攻撃。<br>・<%PhotonArts>で剣による攻撃。<br>"""
text200b#0,"""・<%NormalAttack>で銃による攻撃。<br>・<%PhotonArts>で剣による攻撃。<br>"""
text300#0,"""バリア展開：サブパレットの<br>スキルアイコンホールド、展開中に被弾、<br>その後ホールドを解除すると反撃。"""
text300b#0,"""バリア展開：<%WeaponAction_2>+<%PhotonArts>ホールド<br>バリア展開中に被弾、その後<br>ホールドを解除すると反撃。"""
text400#0,"""・裏パレット<%NormalAttack>ホールドでターゲットをロックオン<br>その後ホールドを解除すると<br>ロックオンしたターゲットに攻撃"""
text400b#0,"""<%WeaponAction_2>+<%PhotonArts>ホールドでターゲットをロックオン<br>その後ホールドを解除すると<br>ロックオンしたターゲットに攻撃"""
tut_title100#0,"""Ａ．Ｉ．Ｓの移動について"""
tut_title200#0,"""Ａ．Ｉ．Ｓの攻撃について"""
tut_title300#0,"""「カウンターフィールド」について"""
