un_059080_0010#0,"""四十年前に何があったのか？<br>それって、巨躯戦争のことだよね。"""
un_059080_0020#0,"""アルマさんが【巨躯】を<br>封印したって話は知ってるけど<br>それ、どうやったのかなって。"""
un_059080_0030#0,"""うーむ、説明するのはいいけど<br>たぶんわからないと思うよ。<br>それでもいいかな？"""
un_059080_0040#0,"""大丈夫、頑張って理解する！"""
un_059080_0050#0,"""まず、事前準備としてナベリウスの<br>フォトンをぎゅーってやるじゃない？<br>そうすると、壁ができるのね。"""
un_059080_0060#0,"""……うん？\u3000壁？"""
un_059080_0070#0,"""その後、みんなに協力してもらって<br>戦いながらその壁の中に<br>【巨躯】を誘導したの。"""
un_059080_0080#0,"""あとは壁内のフォトンをぎゅーってして<br>がちっと固定したんだよね。<br>そして、外から何重にも鍵をかけた。"""
un_059080_0090#0,"""ぎゅーってして、がちっと固定？"""
un_059080_0100#0,"""でもなー、今考えると<br>クラリッサを鍵にしたのは<br>ちょっと失敗だったのかなあ。"""
un_059080_0110#0,"""……あー、でもわたしの身体とかを<br>鍵にしてたら、多分ルーサーが<br>解放してたしなあ。どっちでもダメか。"""
un_059080_0120#0,"""まあ、過ぎたことをいっても<br>しょうがないかな、うん。"""
un_059080_0130#0,"""あーっとごめん、脱線した。<br>どうかな、わかったかな？"""
un_059080_0140#0,"""……ごめんなさい、わからなかった。"""
un_059080_0150#0,"""あははは、だよねー。<br>わたしの感覚を分析するのが得意な<br>スーくんだってさじを投げたんだから。"""
un_059080_0160#0,"""でも、二代目ちゃんが聞きたいのって<br>そのことじゃないんじゃないかな？"""
un_059080_0170#0,"""いいよー、聞きたいことは<br>素直に聞いてくれちゃって。<br>答えたくないことは答えないし。"""
un_059080_0180#0,"""……アルマさんとレギアスさんが<br>四十年前にした約束について<br>なんだけど。"""
un_059080_0190#0,"""四十年前の、ギーくんとの約束……？<br>あー……？\u3000あー……！"""
un_059080_0200#0,"""……えっと、何のコトかな？"""
un_059080_0210#0,"""ごまかすのヘタっ！？"""
un_059080_0220#0,"""話せないことなのか？"""
un_059080_0230#0,"""忘れてしまったのか？"""
un_059080_0240#0,"""話せないことというか<br>話したくないことというか……"""
un_059080_0250#0,"""いやいや、今でも<br>昨日のことのように思い出せるよ？"""
un_059080_0260#0,"""でも、話す気にはなるかどうかは<br>また別の話かな。"""
un_059080_0270#0,"""約束ってさ、誰かに話すと<br>叶わなくなっちゃう気がしない？"""
un_059080_0280#0,"""だから、言わない。"""
un_059080_0290#0,"""だってまだ、ギーくんも<br>リーちゃんも、約束を果たすために<br>頑張ってくれてる最中だから。"""
un_059080_0300#0,"""そんなにはっきりとした約束じゃないし<br>あいまいで、わりと適当な約束だけど<br>……わたしの口からは、言わない。"""
un_059080_0310#0,"""ごめんね、二人とも。<br>でも、ちょっとぐらい秘密あったほうが<br>素敵なお姉さんって感じが出るでしょ？"""
name01#0,"""？？？"""
name02#0,"""？？？"""
