un_043090_0001#0,"""A.P.2028/x/xx"""
un_043090_0010#0,"""……なんか、いろいろな人に会ってきたけど<br>皆、<%me>と話すとき<br>すごく、嬉しそうにしてる。"""
un_043090_0020#0,"""……なんていったらいいのかわからないけど<br><%me>って<br>本当に、すごい人なんだね。"""
un_043090_0030#0,"""１．そんなことはない"""
un_043090_0040#0,"""２．もっと敬ってもいいよ"""
un_043090_0050#0,"""ううん、そんなことあるよ。<br>少なくとも、あたしから見たら<br>そんなこと、あるから。"""
un_043090_0060#0,"""なんか今から急に変えると<br>相手の立場を知って豹変したような感じで<br>かえって気分悪くならない？"""
un_043090_0070#0,"""ほらまた。<br>あんなふうに行く先々で挨拶とか、いいなぁ、って。"""
un_043090_0080#0,"""あたし、学校ではわりと好き勝手やってたから<br>教師受けは良かったけど、同年代には<br>あんまり馴染めなくてさ。"""
un_043090_0090#0,"""あたし自身も、コオリさえいればいいや<br>みたいな感じで振る舞ってたから<br>なおさら人が寄ってこなくなっちゃって……"""
un_043090_0100#0,"""だから、<%me>に対する<br>みんなの接し方がちょっと羨ましいな、って。<br>……それだけ。"""
un_043090_0110#0,"""はー、あたし、何言ってるんだろうね。<br>別世界に来て、気弱になってるのかな？<br>らしくないらしくないーっと。"""
un_043090_0120#0,"""お姉ちゃんも、すごいよ。"""
un_043090_0130#0,"""アル？"""
un_043090_0140#0,"""だって、ぼくを助けてくれたもん。<br><%me>と同じぐらい<br>お姉ちゃんも、すごいよ。"""
un_043090_0150#0,"""……ありがと、アル。"""
