ReturnText#0,"""ย้อนกลับไป"""
ItemDetails#0,"""รายละเอียดไอเท็ม"""
PreviewTitle#0,"""พรีวิว"""
Close#0,"""ปิด"""
ReturnText#1,"""戻る"""
ItemDetails#1,"""アイテム詳細"""
PreviewTitle#1,"""プレビュー"""
Close#1,"""閉じる"""
PartnerCustom#0,"""ปรับแต่งเครื่องแต่งกายพาร์ตเนอร์"""
Weapon#0,"""แลกเปลี่ยนอาวุธ"""
Back#0,"""แลกเปลี่ยนเรียร์ยูนิต"""
Arm#0,"""แลกเปลี่ยนอาร์มยูนิต"""
Leg#0,"""แลกเปลี่ยนเลกยูนิต"""
Costume#0,"""แลกเปลี่ยนคอสตูม"""
BodyParts#0,"""แลกเปลี่ยนบอดี้พาร์ท"""
ArmParts#0,"""แลกเปลี่ยนอาร์มพาร์ท"""
LegParts#0,"""แลกเปลี่ยนเลกพาร์ท"""
WeaponAvatar#0,"""แลกเปลี่ยนอาวุธลายพราง"""
ItemPacTitle#0,"""ลิตส์ที่เข้าข่าย"""
PartnerEquipInfo#0,"""ข้อมูลเครื่องแต่งกาย"""
Delete#0,"""ถอดออก"""
PresentEquipment#0,"""อุปกรณ์ปัจจุบัน"""
SwitchVita#0,"""<pict Swap Sign_TRIANGLE>"""
PartnerCustom#1,"""パートナー装備カスタム"""
Weapon#1,"""武器交換"""
Back#1,"""リアユニット交換"""
Arm#1,"""アームユニット交換"""
Leg#1,"""レッグユニット交換"""
Costume#1,"""コスチューム交換"""
BodyParts#1,"""ボディパーツ交換"""
ArmParts#1,"""アームパーツ交換"""
LegParts#1,"""レッグパーツ交換"""
WeaponAvatar#1,"""武器迷彩交換"""
ItemPacTitle#1,"""候補リスト"""
PartnerEquipInfo#1,"""装備情報"""
Delete#1,"""装備を外す"""
PresentEquipment#1,"""現在の装備"""
SwitchVita#1,"""<pict Sign_TRIANGLE>切替"""
LeaveMessage#0,"""เมื่อถอดSupport Partnerออก อาจจะมีบางขณะที่ไม่อยู่ในห้อง<br><br>ให้เลือก [เรียกSupport Partner] จาก <br>[พาร์ตเนอร์คอนโซล] ของตกแต่งห้อง <br>จะสามารถเรียกให้กลับมาอีกครั้งได้<br><br>ตกลงจะถอดหรือไม่?"""
LeaveMessage2#0,"""ถอดออกเรียบร้อย"""
LeaveMessage#1,"""サポートパートナーに席を外させ、<br>一時的に部屋にいない状態にできます。<br><br>ルームグッズ「パートナーコンソール」から<br>「サポートパートナーを呼び出す」を選ぶと<br>ふたたび呼び戻すことができます。<br><br>席を外させますか？"""
LeaveMessage2#1,"""席を外させました。"""
ReceiptMessage#0,"""รับไอเท็มที่อยู่ด้านล่างนี้จาก$(0)"""
GetExpTitle#0,"""ค่าประสบการณ์ที่ได้"""
GetExp#0,"""ค่าประสบการณ์ที่ได้คราวนี้"""
Exp#0,"""ค่าประสบการณ์"""
Level#0,"""Lv."""
NextLevel#0,"""กว่าจะถึง Lv. ต่อไป"""
QuestTitle#0,"""รายงานผลการค้นหา"""
QuestOrder#0,"""ออเดอร์ที่ช่วยแล้ว"""
ItemTitle#0,"""รับไอเท็มที่ได้"""
Success#0,"""สำเร็จ"""
Failure#0,"""ไม่สำเร็จ"""
ReceiptMessage#1,"""$(0)から<br>以下のアイテムを受け取りました。"""
GetExpTitle#1,"""取得経験値"""
GetExp#1,"""今回の取得経験値"""
Exp#1,"""経験値"""
Level#1,"""Lv."""
NextLevel#1,"""次のレベルまで"""
QuestTitle#1,"""探索結果報告"""
QuestOrder#1,"""手伝ったオーダー"""
ItemTitle#1,"""取得アイテム受け取り"""
Success#1,"""成功"""
Failure#1,"""失敗"""
Top_Title#0,"""Support Partner Menu"""
Explain_Top#0,"""<c f0df60>อนุญาติให้ท่านสามารถตั้งค่า Support Partner ได้หลายรูปแบบ. <c>"""
Explain_Order#0,"""<c f0df60> ของท่านสามารถช่วยเหลือฟื้นฟูด้วย Potion ได้ ท่านสามารถเลือก <c> ff4f3f>$(0)order<c f0df60>ที่ท่านต้องการให้ช่วยเหลือ<c>"""
Explain_Status#0,"""<c f0df60>สามารถตรวจสอบข้อมูลเครื่องแต่งกายและสถานะได้<c>"""
Explain_Talk#0,"""<c f0df60>พูดกับSupport Partner<c>"""
Explain_Equip#0,"""<c f0df60> สามารถเปลี่ยนเครื่องแต่งกายได้ ให้เลือกเครื่องแต่งกาย และเปลี่ยน Class ของ <c f0df60>ให้เป็น <c ff4f3f> ที่สามารถสวมใส่ได้<c>"""
Explain_Move#0,"""-"""
Explain_Return#0,"""<c f0df60>ให้ถอดSupport Partnerออกระยะหนึ่ง<c>"""
Explain_Back#0,"""-"""
AccessMenu_Title#0,"""เมนูSupport Partner"""
AccessMenu_Order#0,"""ระบุการค้นหา"""
AccessMenu_Status#0,"""ดูข้อมูลพาร์ตเนอร์"""
AccessMenu_Talk#0,"""พูดคุย"""
AccessMenu_Equip#0,"""คัสตอมเครื่องแต่งกาย"""
AccessMenu_Move#0,"""ย้ายตำแหน่งคอนโซล"""
AccessMenu_Return#0,"""ถอดออก"""
AccessMenu_Back#0,"""ห่างจากสถานที่นี้"""
MyRoomMenu_Order#0,"""ระบุการค้นหา"""
MyRoomMenu_OrderCancel#0,"""ให้หยุดการค้นหา"""
MyRoomMenu_OrderResult#0,"""ให้รายงานผลการค้นหา"""
MyRoomMenu_Status#0,"""ดูข้อมูลพาร์ตเนอร์"""
DictatePartner#0,"""ระบุการค้นหา"""
OrderSelect#0,"""เลือกออเดอร์"""
PartnerStart#0,"""ให้แสดงการค้นหา"""
PartnerCancel#0,"""ให้หยุดการค้นหา"""
PartnerOverStartMessage#0,"""จำนวนออเดอร์ที่สามารถช่วยได้ในแต่ละครั้ง<br>สามารถรับได้ถึง$(0)ราย <br>ในกรณีที่เลือกออเดอร์นี้ ขอให้กลับไปเลือกออเดอร์ให้มากกว่าหนึ่ง<br>"""
PartnerStartMessage#0,"""จำนวนออเดอร์ที่ช่วย: $(0)ราย (มากสุด $(1)ราย)<br>ระยะเวลาที่ต้องเสร็จ: อีก$(2)<br><br>จะทำการค้นหาจากในเนื้อหาตามนี้ ตกลงหรือไม่?<br>"""
PartnerStartMessage2#0,"""แสดงเรียบร้อย"""
PartnerFaliedMessage#0,"""ไม่สามารถเลือกออเดอร์ได้<br>ขอให้เลือกออเดอร์ที่Support Partnerอยากช่วยจากออเดอร์ที่คุณรับได้"""
PartnerCancelMessage#0,"""เมื่อหยุดการค้นหาในขณะนี้ จะสามารถกลับไปมายรูมได้<br><br>กรณีที่ให้หยุด <br>จะไม่สามารถได้ไอเท็มและค่าประสบการณ์จากการค้นหาได้<br><br>จะหยุดการค้นหาหรือไม่?"""
PartnerCancelMessage2#0,"""หยุดการค้นหาแล้ว"""
PartnerChangeJobMessage#0,"""ให้เปลี่ยนคลาสของSupport Partnerเป็น$(0)เพื่อใส่อาวุธนี้<br><br>ตกลงหรือไม่?"""
PartnerChangeJobError#0,"""ไม่สามารถเปลี่ยนคลาสที่สามารถสวมอาวุธนี้ได้"""
PartnerChangeEquipSuccess#0,"""เปลี่ยนเครื่องแต่งกายเรียบร้อย"""
PartnerChangeEquipError1#0,"""เปลี่ยนเครื่องแต่งกายไม่สำเร็จ"""
PartnerChangeEquipError2#0,"""ไม่สามารถส่งไอเท็มที่คุณสวมใส่อยู่ในขณะนี้ได้"""
PartnerChangeEquipError3#0,"""ไม่สามารถส่งไอเท็มที่ล็อกอยู่ได้"""
PartnerChangeEquipError4#0,"""ไม่สามารถเปลี่ยนเครื่องแต่งกายได้เนื่องจากมีการจำกัดชนิด"""
PartnerChangeEquipError5#0,"""ไม่สามารถเปลี่ยนเครื่องแต่งกายได้เนื่องจากมีการจำกัดเพศ"""
