un_012380_0010#0,"""<%me>。<br>歡迎回來。<br>......嗯，看起來沒問題，太好了。"""
un_012380_0020#0,"""最近聽說有匹很大的龍<br>會突然出現在很多地方，<br>我有點擔心呢。"""
un_012380_0030#0,"""牠是麼出現的呢？<br>......撕開空間出現的啊？<br>竟然可以做到這樣......"""
un_012380_0040#0,"""那麼，牠也可以突然出現在<br>ARKS戰艦裡面吧？<br>好厲害......"""
un_012380_0050#0,"""不過，這樣講的話就怪了。<br>既然什麼地方都能去，<br>跑去沒人的地方不是安全多了。"""
un_012380_0060#0,"""牠該不會有什麼想要做的事情吧？<br>但是，卻不知道那是什麼事......<br>不不不......我想太多了吧？"""
un_012380_0010#1,"""<%me>。<br>おかえり。<br>……うん、大丈夫そうだね、よかった。"""
un_012380_0020#1,"""最近、いろんな場所に突然あらわれる<br>おっきな龍がいるって話を聞いたから<br>ちょっと心配だったんだ。"""
un_012380_0030#1,"""どうやって現れるのかな？<br>……空間を割って現れるの？<br>そんなこと、できちゃうんだ……"""
un_012380_0040#1,"""じゃあ、このアークスシップ内にも<br>現れること、できちゃうよね？<br>すごいなぁ……"""
un_012380_0050#1,"""でも、そうなると不思議だね。<br>どこにでも行けるのなら<br>誰もいないところに行けば安全なのに。"""
un_012380_0060#1,"""何かやりたいことがあるのかな？<br>でも、それが何だかわからない……<br>んんん……考えすぎなのかな？"""
