st_052035_0010#0,"""召喚兵、魔神城召喚準備！<br>国に仇なす反逆者を押しつぶせ！"""
st_052035_0020#0,"""魔神城召喚を食い止めろ！<br>突撃ーっ！"""
st_052035_0030#0,"""くそっ、魔物の数がっ！<br>多すぎる！"""
st_052035_0040#0,"""だがあと少しだ！<br>各員、奮闘せよ！"""
st_052035_0050#0,"""抜けた！\u3000覚悟！"""
st_052035_0060#0,"""なッ！？<br>魔神、結界……！"""
st_052035_0070#0,"""……一手、遅かったな！<br>現れよ、魔神城！"""
st_052035_0080#0,"""……っ、ひるむな！<br>ひるっ……うわあああっ！"""
st_052035_0090#0,"""魔神城出現を確認！<br>魔物が溢れかえっています！"""
st_052035_0100#0,"""っ……魔神城！<br>あれの魔神結界は突破できません！<br>全軍撤退！\u3000指揮は私が執ります！"""
name01#0,"""兵士"""
name02#0,"""兵士"""
