11_voice_NPC_5085_104#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01002#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01003#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_102#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01005#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01006#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01007#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01008#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01009#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_108#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_104#1,"""……オラクルの現在状況か。<br>全て話すと長くなっちゃうから<br>簡単に話させてもらうね。"""
text01002#1,"""まず、状況の推移から。<br>非人道的な研究を繰り返していた組織<br>虚空機関が、四十年前に作られた。"""
text01003#1,"""そこの総長であるルーサーは<br>シオンから、力や知識を奪い、船団と<br>アークスの支配を裏から進めていた。"""
11_voice_NPC_5085_102#1,"""ルーサーに言わせれば、シオンを<br>理解するために云々、だったらしいけど<br>あれはただの力の強奪さ。"""
text01005#1,"""……しかし、半年前に<br><%me>や<br>皆の力でルーサーの支配から脱却。"""
text01006#1,"""ルーサーが、ダークファルス【敗者】で<br>あることも発覚し、それをアークスが<br>退けたことで、全ては解決。"""
text01007#1,"""フォトナーの残滓から……いや<br>長い長い、ルーサーの支配から<br>オラクルは解放された、ってわけだ。"""
text01008#1,"""また、半年前に消滅したシオンの<br>かわりに、彼女のバックアップである<br>ぼくが、管理を引き継いだ。"""
text01009#1,"""そして現在に至る、と。<br>いろいろあったけど、皆にとって<br>良い形におさまったと思うよ。"""
11_voice_NPC_5085_108#1,"""……そうなるように<br>シオンが頑張ってくれたからね。"""
11_voice_NPC_5085_106#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02002#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02003#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02004#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02005#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_108#2,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02007#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02008#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02009#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02010#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02011#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_100#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_106#1,"""……マトイについて、か。<br>難しいことを聞いてくるね。"""
text02002#1,"""以前、マトイのルーツを知るために<br>記録が抹消された１０年前に戻った時。<br>あそこで見たことが、全てだよ。"""
text02003#1,"""マトイは……二代目クラリスクレイスは<br>１０年前に、ダーカーとの戦いの影響で<br>【深遠なる闇】の依り代になりかけた。"""
text02004#1,"""そのとき彼女は、なんのためらいもなく<br>自らを消滅させようとした。ダーカーを<br>滅ぼすものとして、当然とばかりに。"""
text02005#1,"""その時、過去を知るために訪れていた<br><%me>が<br>現在に戻ろうとする力に巻き込まれ……"""
11_voice_NPC_5085_108#3,"""……彼女は、力も記憶も失った状態で<br>１０年後、君と出会ったあの時に<br>時間遡行してきたんだ。"""
text02007#1,"""力を失ったままなら、別によかった。<br>でも彼女は力を徐々に取り戻し<br>クラリッサまで、その手に収めた。"""
text02008#1,"""アークスとして登録はしているけど<br>……あの１０年前に見た、闇の奔流。<br>あれが再発しないとも限らない。"""
text02009#1,"""今はまだそういうデータは出てないけど<br>そもそもが、危うい状態だということを<br>君は理解しておいて欲しい。"""
text02010#1,"""そして、いざというときには……"""
text02011#1,"""……いや、やめよう。<br>そんなことを考えるものじゃないね。"""
