IncidentJsApcBegin#0,"""APC共鬥開始"""
IncidentJsApcSuccess#0,"""APC共鬥失敗"""
IncidentJsApcFailure#0,"""APC共鬥成功"""
IncidentJsApcBeginEvo#0,"""APC共鬥連線開始"""
IncidentJsApcBegin#1,"""APC共闘開始"""
IncidentJsApcSuccess#1,"""APC共闘失敗"""
IncidentJsApcFailure#1,"""APC共闘成功"""
IncidentJsApcBeginEvo#1,"""APC共闘発展開始"""
IncidentJsApcBegin#2,"""/ci2 2 嗨，看你好像陷入苦戰了！<br>讓我來助你一臂之力吧！"""
IncidentJsApcSuccess#2,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcFailure#2,"""唉呦，已經被打得這麼慘啦<br>這下有點麻煩了......<br>抱歉，我要收手了。"""
IncidentJsApcBeginEvo#2,"""APC共鬥連線開始（暫）"""
IncidentJsApcBegin#3,"""/ci2 2 よう、苦戦してるみたいだな！<br>ちょっくら手伝いに来てみたぜ！"""
IncidentJsApcSuccess#3,"""/ci2 1 よっし、終了っと！<br>余計なお世話だったかもしれんが<br>ま、終わりよければなんとやら、だ。"""
IncidentJsApcFailure#3,"""っとと、ここまでやりこまれちまうと<br>ちょっと厳しいな……<br>すまんが俺は帰還させてもらうぜ。"""
IncidentJsApcBeginEvo#3,"""APC共闘発展開始(仮）"""
IncidentJsApcBegin#4,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙嗎？"""
IncidentJsApcSuccess#4,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那麼，下次見囉！"""
IncidentJsApcFailure#4,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcBeginEvo#4,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
IncidentJsApcBegin#5,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcSuccess#5,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcFailure#5,"""うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……"""
IncidentJsApcBeginEvo#5,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
IncidentJsApcBegin#6,"""/toge /ci2 2 啊啊，伙伴！\u3000來得正好！<br>敵人數量相當多啊<br>拜託你幫幫我吧！"""
IncidentJsApcSuccess#6,"""/ci2 1 呼，總算是撐過去啦。<br>謝啦，伙伴。多虧了你<br>才能度過這個難關。"""
IncidentJsApcFailure#6,"""快、快撐不下去了......<br>抱歉了伙伴，我要撤退了。"""
IncidentJsApcBeginEvo#6,"""/toge /ci3 2 這這、這是怎麼了啊！<br>超大的敵意反應！？<br>伙伴，當心點！"""
IncidentJsApcBegin#7,"""/toge /ci2 2 ああっ、相棒！\u3000いいとこに！<br>ヤバイ数のエネミーがいるんだよ<br>ちょっと協力してくれ！"""
IncidentJsApcSuccess#7,"""/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。"""
IncidentJsApcFailure#7,"""こ、これ以上はきつい……<br>すまん相棒、おれ撤退させてもらうわ。"""
IncidentJsApcBeginEvo#7,"""/toge /ci3 2 ななっ、なんだよ！<br>すっげー巨大な敵性反応！？<br>相棒、気をつけろよ！"""
IncidentJsApcBegin#8,"""/mn6 /ci2 2 不、不好意思。<br>這裡敵人太多了。<br>可以請您幫幫忙嗎！"""
IncidentJsApcSuccess#8,"""/mn15 /ci2 1 成功了！\u3000我們成功了呢！<br>謝謝您！<br>真的幫了我一個大忙！"""
IncidentJsApcFailure#8,"""/mn7 對不起......我無法再戰了。<br>請讓我撤退。<br>真的很對不起......"""
IncidentJsApcBeginEvo#8,"""/mn2 /ci2 2 哇哇，好強烈的反應！<br>看來會有很大隻的敵人<br>跑出來喔！"""
IncidentJsApcBegin#9,"""/mn6 /ci2 2 す、すみません。<br>ここ、敵さんがいっぱいなんです。<br>手伝ってもらえませんか！"""
IncidentJsApcSuccess#9,"""/mn15 /ci2 1 やったぁ！\u3000やりましたねっ！<br>ありがとうございました！<br>本当に助かりましたっ！"""
IncidentJsApcFailure#9,"""/mn7 すみません……継戦不可です。<br>撤退させてもらいます。<br>ごめんなさい……"""
IncidentJsApcBeginEvo#9,"""/mn2 /ci2 2 うわわっ、すっごい反応です！<br>これはおっきな敵さんが<br>出てきそうですよ！"""
IncidentJsApcBegin#10,"""/ci4 5 啊啊，是你啊<br>如果你方便，可以幫我一下嗎？<br>數量這麼多，有點麻煩。"""
IncidentJsApcSuccess#10,"""/ci2 1 好，這樣就搞定了。<br>也收集到不錯的資料了，謝啦。"""
IncidentJsApcFailure#10,"""抱歉，我要撤退了。<br>畢竟就算在這裡硬撐<br>也得不到什麼好處。"""
IncidentJsApcBeginEvo#10,"""/ci4 5 嗯…這個反應，是新面孔嗎。<br>嘛，小心點前進吧。"""
IncidentJsApcBegin#11,"""/ci4 5 ああ、キミか。<br>よければ手伝ってくれないかな？<br>何分数が多くて面倒でね。"""
IncidentJsApcSuccess#11,"""/ci2 1 よし、これで終わりだな。<br>いいデータも取れた、感謝するよ。"""
IncidentJsApcFailure#11,"""すまないが、撤退させてもらうよ。<br>こんなところで無理をしても<br>何の得にもならないだろうからね。"""
IncidentJsApcBeginEvo#11,"""/ci4 5 ふむ……この反応は、新手か。<br>まあ、気をつけていこうじゃないか。"""
IncidentJsApcBegin#12,"""/ci2 1 啊，啊啊！<br>您來得正是時候！<br>救命啊，救救我─！"""
IncidentJsApcSuccess#12,"""/ci2 1 呼......看來總算是平安<br>結束了，真是太好了。<br>謝謝您。幫了我一個大忙。"""
IncidentJsApcFailure#12,"""嗚嗚......我只是在找老師而已<br>怎麼會碰上這種事......<br>我要撤退了......"""
