11_voice_NPC_5483_100#0,"""……久しぶり。<br>私のこと、覚えてるかな。"""
skit01_02#0,"""……元マザー・クラスタ。<br>今は天星学院の現国教師。<br>フル＝ジャニース＝ラスヴィッツ。"""
skit01_03#0,"""私たちに……というより<br>クゥに、協力してあげて欲しい。"""
11_voice_NPC_5483_104#0,"""……依頼した件、どう？"""
skit02_02#0,"""……守護輝士だし、余裕だと思う。<br>頑張って。"""
skit03_01#0,"""……どう、進んでる？"""
11_voice_NPC_5483_104#1,"""……締め切り前に<br>急かすみたいで少し気が引けるけど<br>クゥのため、私も心を鬼にする。"""
skit03_03#0,"""……大変恐縮ではございますが<br>何卒オーダーの達成をお願い致します。<br>なるはやで。"""
11_voice_NPC_5483_100#1,"""……アークスの人も<br>バレンタインやるんだね。<br>これは貴重な情報……メモメモ。"""
11_voice_NPC_5483_105#0,"""……もしかして、貴方も<br>私たちからチョコレート、欲しい？"""
skit04_03#0,"""……私たちに協力してくれれば<br>２０％ぐらい可能性あるかも。<br>たぶん。"""
11_voice_NPC_5483_101#0,"""……手伝ってくれてありがとう。<br>無事にバレンタインイベントできそう。<br>あとは、クゥが頑張ること。"""
skit05_02#0,"""お膳立てはした。後押しもした。<br>あとは、姉のように優しく見守るだけ。<br>……今のいいセリフかも。メモメモ。"""
11_voice_NPC_5483_106#0,"""……でも、さすがは守護輝士。<br>敵だった私たちにも、協力してくれた。<br>素直に尊敬するよ。ありがとう。"""
