msc_041390_0010#0,"""……なるほど。<br>キミたちが、あの男の切り札だったわけか。"""
msc_041390_0020#0,"""やるじゃないか。<br>さすがはガーディアン……想定外だったよ。"""
msc_041390_0030#0,"""仲間がいたからだ。"""
msc_041390_0040#0,"""守りたいという心の力だ。"""
msc_041390_0050#0,"""そうか……それこそがキミたちの……。"""
msc_041390_0060#0,"""心……そんな曖昧なものに、僕は負けたというのか。"""
msc_041390_0070#0,"""でも、気を抜くにはまだ早すぎる。<br>僕たちの計画は、まだ始まったばかりさ。"""
msc_041390_0080#0,"""僕は塔を守る三影傑のひとりにすぎない。<br>そして、何より……。"""
msc_041390_0090#0,"""僕たちの背後には、あの方がいる。<br>スターレスの新たなる王がね。"""
msc_041390_0100#0,"""スターレスの王って……ヴァエルのことじゃないの!?"""
msc_041390_0110#0,"""ヴァエル？\u3000彼はもはや、過去の王にすぎないよ。"""
msc_041390_0120#0,"""彼を倒して安心しているのなら、キミたちはまたしても、<br>500年前のように宇宙の塵へと消えるだけだ。"""
msc_041390_0130#0,"""ヴァエルが、過去の王……。"""
msc_041390_0140#0,"""そんな……。"""
msc_041390_0150#0,"""新たな王のもとで、すでに計画は始まっている。<br>キミたちが今ここにいることも……その一部にすぎないのかもしれないよ。"""
msc_041390_0160#0,"""そして、キミも……その計画の一部だろう？"""
msc_041390_0170#0,"""っ……私が……⁉\u3000でたらめ言わないで！"""
msc_041390_0180#0,"""今は忘れているのかもしれない。でもいずれ、思い出すよ。<br>キミが“こちら側”の存在であることを。そして、キミの“使命”をね。"""
msc_041390_0190#0,"""私の……使命……。"""
msc_041390_0200#0,"""それって……本当なの？\u3000私が……スターレスだっていうの……？"""
msc_041390_0205#0,"""うっ"""
msc_041390_0210#0,"""制御タワーが、機能を停止した……。"""
msc_041390_0220#0,"""オルタ・クロフォードを倒したことで、コアが砕けたんだわ。"""
msc_041390_0230#0,"""聞こえるかい、ガーディアンたち？<br>こちらはクロフォード。全員無事か？"""
msc_041390_0240#0,"""クロフォード！\u3000うん、全員無事だよ。"""
msc_041390_0250#0,"""そうか。みんな、よくやってくれた。"""
msc_041390_0260#0,"""……オルタ・クロフォード。<br>指令室から立ち去った時、キミは僕に勝った気でいただろう。"""
msc_041390_0270#0,"""だが、あの時、僕はそうは思っていなかった。<br>彼らなら、必ずキミを討ち倒してくれると信じていたからだ。"""
msc_041390_0280#0,"""……ははっ……！\u3000やっぱり、キミは癇に障るよ、司令官殿。<br>最後まで、何もかもわかったような顔をして。"""
msc_041390_0290#0,"""ふっ……だが、忘れるな。僕は影のひとりにすぎない。<br>キミたちの見知った者が……再び、キミたちの……前に……。"""
msc_041390_0300#0,"""スターレス……私が……。"""
msc_041390_0310#0,"""ルーシア……。"""
msc_041390_0320#0,"""……今は、何も言わなくていいよ。でも、あたしたち、<br>ルーシアが誰だとしても、ここまで一緒に来た仲間だって思ってる。"""
msc_041390_0330#0,"""ええ。それに、戦いは終わっていないわ。<br>残りの制御タワーに、スターレスの新たな王のことも。"""
msc_041390_0340#0,"""私たちにはまだ、やらなければならないことがある。<br>だから、ルーシア……私たちと進みましょう。"""
msc_041390_0350#0,"""一緒に行こう。"""
msc_041390_0360#0,"""ひとりじゃないよ。"""
msc_041390_0370#0,"""……ほんと、そうやって、すぐ手を差し出すんだから。<br>おひとよしにも、ほどがあるわ。"""
msc_041390_0380#0,"""けど、今は……ありがとう。"""
msc_041390_0390#0,"""うん。帰ろう、あたしたちと一緒に。"""
msc_041390_0400#0,"""……智の影が、消えたか。"""
