name01#0,"""？？？"""
name02#0,"""ラベルナ"""
pr_049010_0010#0,"""みなさん、聞こえていますか。"""
pr_049010_0020#0,"""そこは、幻創により復活した大陸。<br>ムー大陸と呼ばれていたものと<br>酷似しているとかなんとか……"""
pr_049010_0030#0,"""地球の皆さんの共通認識だからこそ<br>生みだされたという事でしょうか<br>……ああっと、そんな情報はさておき。"""
pr_049010_0040#0,"""そこは、幻創造神によって<br>地球全域から集約したエーテルが<br>生みだした、幻創の大陸です。"""
pr_049010_0050#0,"""幻創ゆえに、どのようなものが<br>生みだされているかは……<br>それこそ、想像もつきません。"""
pr_049010_0080#0,"""そして今もなお<br>エーテルは集約し続けています<br>目の前の大樹、その頂上へと。"""
pr_049010_0090#0,"""このまま放っておけば大陸どころではない<br>……もっととんでもないものが<br>創り出されてしまうかもしれません。"""
pr_049010_0100#0,"""止めましょう、幻創造神を。<br>地球の皆さんのためにも。<br>マザーのためにも。"""
pr_049010_0110#0,"""そのために、不肖シエラ。<br>皆さんを精一杯サポートしますからね！"""
