name_7200#0,"""カルテヴィエ"""
ssn_005030_0001#0,"""え？\u3000この建物はなにかって？"""
ssn_005030_0002#0,"""セントラルタワーさ。<br>このセントラルシティを象徴する建物だね。"""
ssn_005030_0003#0,"""そして、広い範囲に電波を送受信できる電波塔でもあるのさ。<br>おかげでボクたちは、どこにいても通信できるってわけさ。"""
ssn_005030_0101#0,"""装備はちゃんと鍛えてるかい？"""
ssn_005030_0051#0,"""もし、まだ装備を鍛えたことがなければ、<br>やり方を教えてあげよう。"""
ssn_005030_0052#0,"""まあ、そんなややこしい話じゃないんだけどさ。"""
ssn_005030_0102#0,"""武器や防具は、<br>アイテムラボで強化することができるのさ。"""
ssn_005030_0103#0,"""不要な武器とか、グラインダーとか、<br>必要な素材を集めて、ラボに行ってみるといいのさ。"""
ssn_005030_0201#0,"""装備を強化できたみたいだね。"""
ssn_005030_0202#0,"""エネミーと戦ってみて、<br>性能の変化を確かめてみたらどう？"""
ssn_005030_0203#0,"""アークスにとって、武器や防具の強化は重要。<br>しっかり覚えておくといいのさ。"""
ssn_005030_0301#0,"""そうかい。気が向いたら、また来るといいさ。"""
