name01#0,"""เกี่ยวกับไอเทมเสมือนของ [Extreme Quest]"""
name01#1,"""『エクストリームクエスト』仮想アイテムについて"""
text01#0,"""อธิบายเกี่ยวกับการดรอปไอเทม<br><br>Hostile ที่ปรากฎใน [Extreme Quest] คือสิ่งที่ปรากฎตัว<br>ขึ้นอีกครั้งจากการสังเคราะห์<br><br>ด้วยเหตุนั้น ไอเทมดรอปที่สังเคราะห์ได้ยากส่วนหนึ่ง<br>จึงอยู่ในสถานะไม่เสถียร<br><br>ซึ่งไอเทมประเภทนั้น จะมีไอคอนเฉพาะปรากฎอยู่"""
text02#0,"""ไอเทมไอคอนเฉพาะที่ดรอปมานั้น <br>เมื่อเก็บแล้วจะไม่ไปอยู่ในช่องเก็บของ<br>แต่จะไปอยู่ในช่องพิเศษในฐานะ Virtual Items<br><br><yellow>Virtual Items ที่เก็บอยู่ในช่องพิเศษ<br>จะหายไปเมื่อจบเควสต์<br>แต่จะสามารถนำจำนวนหนึ่งกลับมาได้อีกครั้งจาก <br>[Extreme Terminal]  หลังจากที่เคลียร์เควสต์<c>"""
text03#0,"""อธิบายเกี่ยวกับ [Stage Order]<br><br>ทุก Stage ใน [Extreme Quest] จะมีการ<br>ไหว้วานให้ทำการทดลองที่เรียกว่า [Stage Order] อยู่<br><br>หากทำเรื่องที่ไหว้วานนี้สำเร็จ <br>จำนวนไอเทมดรอปที่จะได้จาก Hostile ก็จะมากขึ้น<br><br>นอกจากนี้ หากทำสำเร็จจนถึงระดับหนึ่ง<br>จะสามารถนำไอเทมกลับไปได้มากขึ้นเมื่อเคลียร์เควสต์อีกด้วย"""
text04#0,"""ใน [Stage Order]<br>อาจมีเงื่อนไขที่ทำให้ผู้เล่นไม่สามารถใช้<br>การฟื้นฟูใดๆ ได้เลยอยู่เช่นกัน<br><br><yellow>*เพียงแต่ การฟื้นฟูจาก Mag, ผลการฟื้นฟูอัตโนมัติจาก Skill,<br>การฟื้นฟูจากไอเทมเติมเงินจะถือเป็นข้อยกเว้น<c>"""
text05#0,"""อธิบายเกี่ยวกับ [Hostile Ability Changes]<br><br>เพื่อที่จะให้ [Extreme Quest] มีความยากยิ่งขึ้น<br>จึงได้มีการเพิ่มความแข็งแกร่งให้กับ Hostile<br>ซึ่งการเพิ่มความแข็งแกร่งนี้จะเรียกว่า [Hostile Ability Changes]<br><br>[Hostile Ability Changes] ส่วนหนึ่งที่เพิ่มความต้านทาน<br>สามารถที่จะพลิกกลับมาเป็นผลที่เป็นประโยชน์ได้<br>จากการทำ [Stage Order] ของ Stage ก่อนหน้านี้ให้สำเร็จ"""
text01#1,"""ドロップアイテムについて説明します。<br><br>「エクストリームクエスト」で出現するエネミーは<br>人工的に再現されたものです。<br><br>そのため、再現性の難しい一部ドロップアイテムは<br>不安定な状態で出現します。<br><br>そのようなアイテムは専用のアイコンで出現します。"""
text02#1,"""専用のアイコンでドロップしたアイテムは<br>拾得時にアイテムパックには入らず<br>不安定なデータとして、専用スペースにプールされます。<br><br><yellow>専用スペースにプールされたアイテムは<br>クエスト終了時に消滅してしまい<br>クエストクリア時のみ「エクストリーム端末」から<br>一定数だけ持ち帰ることができます。<c>"""
text03#1,"""「ステージオーダー」について説明します。<br><br>「エクストリームクエスト」では、ステージごとに<br>「ステージオーダー」という実験的な依頼が出されます。<br><br>この依頼を達成することでエネミーからの<br>アイテムのドロップ数が上昇していきます。<br><br>また、一定数達成するごとに、クエストクリア時に<br>持ち帰ることのできるアイテム数が上昇します。"""
text04#1,"""「ステージオーダー」の中には<br>プレイヤーに対する全ての回復効果を受けずに<br>条件を満たさなければならないものもあります。<br><br><yellow>※ただし、マグによる回復効果、スキルによる自動回復効果<br>課金アイテムによる回復効果は対象から除外されます。<c>"""
text05#1,"""「エネミー能力変化」について説明します。<br><br>「エクストリームクエスト」では、過酷な状況を作り出す為に<br>エネミーを人為的に強化しています。<br>この強化を「エネミー能力変化」と呼んでいます。<br><br>一部の耐性を強化する「エネミー能力変化」は<br>前のステージの「ステージオーダー」を達成することで<br>反転させ、有利な効果を生じさせることが可能となっています。"""
