ssn_013200_0001#0,"""Been enjoying Gathering?"""
ssn_013200_0002#0,"""Outside the city, there's a wealth of vegetables, fruits, Ores and Tames meat to be harvested."""
ssn_013200_0003#0,"""hose fresh ingredients and strong materials are sure to benefit you in your battles to come."""
ssn_013200_0101#0,"""待っていたぞ。"""
ssn_013200_0102#0,"""もっと鉱石について、学びたいんじゃないか？"""
ssn_013200_0201#0,"""フォトンクォーツは、水色に光る先のとがった鉱石。<br>トライナイトは、同心円状の縞模様が美しい鉱石だ。"""
ssn_013200_0202#0,"""これらの石も、同じく武器の鍛錬に使える。"""
ssn_013200_0203#0,"""……私としては、<br>良い形のものは観賞用にしたいところだが……。"""
ssn_013200_0204#0,"""ちなみに、フォトンクォーツは、<br>特にマルチウェポンを作るときに必要だ。"""
ssn_013200_0205#0,"""これらが採れる場所は、北エアリオだ。<br>それじゃ、例によって探しに行ってみてくれ！"""
ssn_013200_0301#0,"""む、そうか……。<br>それは残念だ。"""
ssn_013200_0302#0,"""鉱石について学びたくなったら、<br>いつでも聞いてくれ。"""
