a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""T:ビーチウォーズ2020！"""
Explanation#0,"""惑星ウォパルの保養地近郊にて<br>突如として幻創種、海王種、および<br>エスカダーカーの出現が確認された。<br>ビーチは混乱し被害も出ている。<br>アークス各員は、急ぎ現地へと向かい<br>状況の調査と鎮圧にあたれ。<br>――――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""まもなく転送を開始します。<br>今回の任務は、ビーチで暴れている<br>エネミーをすべて撃退することです！"""
NpcComMsg2#0,"""水着の女性アークスを守りつつ……いえ<br>この反応は例のマトイさんたちですね。<br>心配は無用でしょう！"""
NpcComMsg3#0,"""また、今回も謎の生物ナスナカン？\u3000が<br>すべった？\u3000とかでエネミーを怒らせて<br>ピンチだとか。助けてあげてください！"""
SimpleExplanation#0,"""時間内に可能な限りエネミーを撃退せよ！"""
Area0S#0,"""海岸エリア1"""
Area0L#0,"""惑星ウォパル 海岸エリア1"""
Area1S#0,"""海岸エリア2"""
Area1L#0,"""惑星ウォパル 海岸エリア2"""
