name_7022#0,"""カヌイ"""
name_7001#0,"""マノン"""
name_7026#0,"""ファリア"""
ssn_017160_0010#0,"""お疲れさまです。"""
ssn_017160_0020#0,"""<%me>、来てくれたのね。"""
ssn_017160_0030#0,"""して、いったいどのようなことが……？"""
ssn_017160_0040#0,"""………。"""
ssn_017160_0050#0,"""なるほど。<br>そのようなメッセージが遺されていたのですね。"""
ssn_017160_0060#0,"""彼女の死を、ずっと悔いていた彼らですが、<br>真実を知って、やっと弔うことができるのでしょうか……。"""
ssn_017160_0070#0,"""……私は、ヒバナの気持ちが少し分かる気がするわ。"""
ssn_017160_0080#0,"""アイナやあなたに出会えてなかったら、<br>ヒバナと同じ……“力”を使い続ける選択肢を取っていたと思う。"""
ssn_017160_0090#0,"""自分の身を苦しめてでも、<br>誰かのためになりたいと考えるのも、無理はないわ。"""
ssn_017160_0100#0,"""……ヒバナさんは、<br>きっと、どこかで孤独だったのでは。"""
ssn_017160_0110#0,"""私も、彼女を弔いたいです。"""
ssn_017160_0120#0,"""彼女は、ハルファの人とも、ルシエランともつながりの深い人物です。<br>未来が繋がった今、彼女の気持ちを汲み取り、寄り添いたいと思うのです。"""
ssn_017160_0130#0,"""……そうですね。<br>では、歌を送るのはどうでしょうか。"""
ssn_017160_0140#0,"""“あの歌”なら、ハルファでも、ルシエルでも共通だとお聞きしました。"""
ssn_017160_0150#0,"""いいわね。<br>じゃあ、少ししたら、私たちもハルフィリア湖に行きましょうか。"""
ssn_017160_0160#0,"""ええ、そうしましょう。"""
ssn_017160_0170#0,"""<%me>さん、<br>このたびは調査にご協力いただき、ありがとうございました。"""
ssn_017160_0180#0,"""調査ありがとうございました。"""
