IncidentName#0,"""多数のサンプルを採掘せよ！"""
TrialBeginMsg#0,"""採掘機を用い、一定時間内に<br>一定数のサンプルを採掘せよ！"""
TrialAbstract#0,"""採掘機を用い、一定時間内に<br>一定数のサンプルを採掘せよ！"""
ToastOnHalfFinish#0,"""ノルマ達成まで残り半分。"""
ToastOnLast#0,"""ノルマ達成まであと１つ。"""
NpcComOnBegin#0,"""この辺りがポイントのようだ。<br>採掘機を用いて探ってみろ。"""
NpcComOnSuccess#0,"""採掘作業は無事、終わったようだな。<br>このポイントはここまでのようだ。<br>まあ、問題ない成果だろう。"""
NpcComOnFailure#0,"""ポイントを見誤ったか……？<br>何にせよ、次の機会だな。"""
NpcComOnAccess#0,"""採掘機の扱い方はわかっているな？<br>輝いた時にアクセスするんだ。"""
NpcComOnHit#0,"""ほう、これは素晴らしい。その場所で<br>これほど貴重な物が発掘されるとは。"""
NpcComOnMiss#0,"""ひとつの場所に固執せず<br>他の採掘機も試してみるといいぞ。"""
NpcComOnPreSuccess#0,"""ノルマを達成したようだな。<br>まだ掘れる余地はあるぞ<br>探してみるといい。"""
NpcComOnPreFinish#0,"""そろそろ採掘機の起動時間の限界だ。<br>採掘を行うのなら急げ。"""
NpcComOnBegin#1,"""ポイントはこの周辺です。<br>採掘機を用い、探索を。"""
NpcComOnSuccess#1,"""採掘作業の完了を確認。<br>このポイントはここまでのようです。"""
NpcComOnFailure#1,"""……採掘ポイントの誤検知？<br>仕方がありません。<br>次の機会を待ちましょう。"""
NpcComOnAccess#1,"""採掘機が輝いているタイミングで<br>アクセスしてください。<br>それで採掘機は機能します。"""
NpcComOnHit#1,"""良い物が発掘されましたね。<br>データとしても貴重です。"""
NpcComOnMiss#1,"""その場のみに固執せず<br>他の採掘機も利用すると<br>よろしいかと。"""
NpcComOnPreSuccess#1,"""ノルマの達成を確認。<br>まだ余裕はありますので<br>発掘を続けても構いません。"""
NpcComOnPreFinish#1,"""採掘機の起動時間限界が近いです。<br>採掘を行うのであれば<br>お急ぎください。"""
