Title#0,"""マターボード一覧"""
AchieveRatio#0,"""$(0)％"""
Episode#0,"""EP$(0) -"""
Title#1,"""マターボード"""
HintClose#0,"""捜索不可能なマター"""
HintOpen#0,"""捜索可能なマター"""
HintAchieved#0,"""捜索済みのマター"""
HintAccepted#0,"""捜索中のマター"""
HintGuide#0,"""ガイド中のマター"""
HintKeyOpen#0,"""捜索可能なキーマター"""
HintKeyAchieved#0,"""捜索済みのキーマター"""
HintKeyAccepted#0,"""捜索中のキーマター"""
HintKeyGuide#0,"""ガイド中のキーマター"""
PercentComplete#0,"""達成率"""
Title#2,"""マター情報"""
OrderName#0,"""$(0)－$(1) $(2)"""
Info#0,"""情報"""
Target#0,"""目標"""
Close_Vita#0,"""捜索不可"""
Open_Vita#0,"""捜索可能"""
Accepted_Vita#0,"""捜索中"""
Achieved#0,"""捜索済み"""
DetailsTitle1#0,"""アイテム詳細"""
DetailsTitle2#0,"""イベント情報"""
SearchGauge#0,"""進行状況"""
AcceptTitle#0,"""捜索開始確認"""
Accept1#0,"""このマターの捜索を開始しますか？"""
Accept2#0,"""捜索中のマターを変更し、<br>このマターの捜索を開始しますか？"""
Accept3#0,"""クエストカウンターで<br>このマターのガイドを表示しますか？"""
Accept4#0,"""このマターの対象キャラクターに<br>ガイドを表示しますか？"""
Target#1,"""目標："""
Area#0,"""主なエリア："""
Guide#0,"""（このマターをガイドの対象にした場合、<br>\u3000このマターボードが捜索対象となります）"""
AutoGuide#0,"""おすすめのマター「$(0)－$(1) $(2)」にガイドを設定しました。"""
CompleteTitle#0,"""選択確認"""
Complete1#0,"""このマターボードは、全てのマターが探索済みの<br>状態です。<br>このマターボードをセットすることで、ロビーにいる<br>キャラクターや会話の内容などが変化します。<br><br>マターボードのセットを変更しますか？"""
Complete2#0,"""マターボードをセットしました。"""
