name_7004#0,"""クロフォード"""
name_7016#0,"""グレン"""
name_7024#0,"""ヒバナ"""
ssn_017140_0010#0,"""来たね。<br>お疲れさま。"""
ssn_017140_0020#0,"""ああ。まったく、とんだところに隠していたものだ。"""
ssn_017140_0030#0,"""では、メッセージを再生するぞ。"""
ssn_017140_0040#0,"""………。"""
ssn_017140_0050#0,"""このメッセージを聞いているのは、グレンとクロフォードかな？<br>元気？\u3000ケンカしてない？\u3000ごはんは、ちゃんと食べてる？"""
ssn_017140_0060#0,"""……きっと、未来は良い方向に変わっているのよね？"""
ssn_017140_0070#0,"""こほん。<br>えーっと、お話をしないとね。"""
ssn_017140_0080#0,"""ニルス・スティアが近々投入される、ということを上から聞いた。<br>アレがいかに強力なエネミーかということは、いろいろな共有で知っている。"""
ssn_017140_0090#0,"""“今のハルファ”に、あのエネミーを討伐できるような、<br>軍備も、組織も、素晴らしきリーダーも、まだない。"""
ssn_017140_0100#0,"""アークスの戦闘データを収集していたのは私だもの。<br>私が一番よく、知っている。"""
ssn_017140_0110#0,"""計画に異議を申し立てたけれど、<br>上の者は、全く応じてくれなかったわ。"""
ssn_017140_0120#0,"""……だから、せめて。"""
ssn_017140_0130#0,"""私はリサージェントアークスだから、“リサージェントアークスの力”を<br>使ってでも、この襲撃の被害を減らすことにした。"""
ssn_017140_0140#0,"""それだけ私は、<br>みんなのことが大好きになったから。"""
ssn_017140_0150#0,"""惑星ハルファの人間だと、星渡りだと、<br>嘘をついていてごめんなさい。"""
ssn_017140_0160#0,"""私の本当の姿を、このメッセージを、<br>知ってくれてありがとう。"""
ssn_017140_0170#0,"""……ふたりとも、すてきなリーダーになってね。"""
ssn_017140_0180#0,"""………。"""
ssn_017140_0190#0,"""あいつが言っていた<br>“リサージェントアークスの力”……。"""
ssn_017140_0200#0,"""マノンも使用していた“オーバーブースト”、のことなのかな。"""
ssn_017140_0210#0,"""ヒバナは、あの襲撃の時に自らしんがりを務めた。<br>それはあいつが既に襲撃がどの規模なのかを知っていたからだろう。"""
ssn_017140_0220#0,"""俺は、他のドールズにかかりきりになっていたから、<br>力の使用には気づかなかったが……。"""
ssn_017140_0230#0,"""あの時の被害は、確かに<br>災厄の規模から考えれば少なかった。"""
ssn_017140_0240#0,"""まさか、彼女の……リサージェントアークスの力に、<br>助けられていたとは……。"""
ssn_017140_0250#0,"""気づくのが……遅かったな。<br>もっと早ければ、ルシエランたちへの接し方も変えられたかもしれないのに。"""
ssn_017140_0260#0,"""そうだね。<br>でも、ヒバナは安寧が訪れた後に、<br>これを見てほしかったのだと思う。"""
ssn_017140_0270#0,"""その……僕たちで“未来”を変えたその先で、<br>待っていてくれたんじゃないかな。"""
ssn_017140_0280#0,"""ああ……。"""
ssn_017140_0290#0,"""ありがとう、ヒバナ。<br>君が守ってくれたこの星を、もっと良くしていくからね。"""
ssn_017140_0300#0,"""すまなかったな、ヒバナ。ここまで気づいてやれなかった。<br>やっと本当のお前に会えた。"""
ssn_017140_0310#0,"""……クロフォードとも、うまくやるから、<br>どうか、見守っていてくれ。"""
ssn_017140_0320#0,"""<%me>も、<br>ついてきてくれてありがとう。"""
ssn_017140_0330#0,"""僕たちは、少しばかり祈りを捧げてから戻ろうと思う。"""
ssn_017140_0340#0,"""今の僕たちを見て、<br>彼女が少しでも笑ってくれたら良いな。"""
