un_012650_0005#0,"""[Each According To Her Abilities]<br>ข้อความชั่วคราว"""
un_012650_0010#0,"""ฮาโหลลลลล!<br>ทุกคนขอโทษที่ให้คอย<br>นี่ Pati เองค่า!"""
un_012650_0020#0,"""ที่บอกว่าให้คอยนี่<br>ตอนนี้ชั้นยังไม่เห็นใครเลยนะ<br>อ้อ สวัสดีค่ะ Tia ค่ะ"""
un_012650_0030#0,"""แหม มันฟื้นคืนชีพขึ้นมาแล้วสินะ<br>Dark Falz น่ะ!<br>เขาเรียกว่า The Elder ใช่รึเปล่า?"""
un_012650_0040#0,"""เพราะเหตุนั้นทุกคนก็เลยโกลาหล<br>กันใหญ่! และไม่มีใครคิด<br>จะฟังเรื่องที่เราพูดด้วย! ฮึ่มฮึ่ม!"""
un_012650_0050#0,"""ทำมาเป็นงอนไปได้ ก็มัน<br>เป็นเรื่องที่ช่วยไม่ได้นี่นา"""
un_012650_0060#0,"""แต่ก็เป็นความจริงที่พวกเบื้องบนปกปิด<br>ข้อมูลเอาไว้ก็เลยทำให้บรรยากาศ<br>ภายใน ARKS ทั้งหมดตึงเครียด"""
un_012650_0070#0,"""ก็น่านน่ะสินะ<br>เพราะอย่างนั้นพวกเราถึง<br>ทำตัวสดใสร่าเริงกันไง!"""
un_012650_0080#0,"""......ดูๆ แล้วก็เหมือนทุกทีนี่นา"""
un_012650_0090#0,"""แต่ก็นะ ยังไงมันก็ฟื้นคืนชีพขึ้นมาแล้ว<br>ป่านนี้แล้วถึงจะพูดความลับออกมา<br>มันก็ไม่ช่วยอะไรอยู่ดีนี่นา?"""
un_012650_0100#0,"""ก็จริงอย่างที่ Pati จังพูดนะ<br>สิ่งสำคัญก็คือการทำให้<br>มันไม่เกิดเรื่องเดิมขึ้นมาอีก"""
un_012650_0110#0,"""โดยเฉพาะอย่างยิ่งเกี่ยวกับเรื่อง<br>ปกปิดเนี่ยพวกเรานักค้าข้อมูล<br>จะต้องสำรวจให้ละเอียดๆ เลย!"""
un_012650_0120#0,"""ถ้าเรื่องปกปิดแดงออกมา<br>และเรารู้มัน เราก็ต้องรีบ<br>ประกาศใช่มั้ยล่ะ! ใช่มั้ยใช่มั้ย!"""
un_012650_0130#0,"""ทำแบบนั้นมันก็ออกจะอันตรายอยู่นะ......<br>แต่ก็นะ ถ้าใช้ชื่อว่านักค้าข้อมูลอยู่<br>เรื่องแค่นั้นก็ต้องทำให้ได้ล่ะนะ"""
un_012650_0140#0,"""เอาล่ะ ถ้าเช่นนั้นก็ตั้งตารอฟังข้อมูล<br>ครั้งต่อไปของอาจารย์ Pati ได้เลยนะ!"""
un_012650_0005#1,"""【適材適所にがんばろう！】<br>仮テキスト"""
un_012650_0010#1,"""やっほー！<br>みなさんお待ちかねの<br>パティちゃんですよー！"""
un_012650_0020#1,"""お待ちかねと言いつつ<br>今、こっちから声かけてたよね。<br>あ、どうも、ティアです。"""
un_012650_0030#1,"""いやー、復活しちゃったね<br>ダークファルス！<br>【巨躯】って言うんだっけ？"""
un_012650_0040#1,"""あれのおかげでみんな大混乱！<br>だーれもあたしたちの話を<br>聞いてくれないの！\u3000プンプン！"""
un_012650_0050#1,"""やけに可愛く怒りを表現してるけど<br>まあ、仕方がないんじゃないかな。"""
un_012650_0060#1,"""上層部が情報を隠していたとか<br>なんとかで、アークス全体の<br>空気がピリピリしてるからね。"""
un_012650_0070#1,"""そーなんだよねー。<br>だからあたしは健気になおさら<br>明るく振る舞っているのです！"""
un_012650_0080#1,"""……いつも通りな気がするけど。"""
un_012650_0090#1,"""まあ、復活しちゃったことや<br>隠し事のことを今更言っても<br>どーにもならないしー？"""
un_012650_0100#1,"""確かにパティちゃんの言う通り。<br>同じ事が起こらないように<br>するのが重要よね。"""
un_012650_0110#1,"""とくに、隠し事については<br>あたしたち情報屋が<br>しっかり調べていかないと！"""
un_012650_0120#1,"""隠してもすぐにバレるって<br>わかったら、なんでもすぐに<br>発表するでしょ！\u3000でしょでしょ！"""
un_012650_0130#1,"""そのぶん危険もありそうだけど……<br>まあ、情報屋を名乗るのであれば<br>そのぐらいはやらないとね。"""
un_012650_0140#1,"""ではではっ、パティ先生の<br>次回情報にご期待下さいねっ！"""
