name01#0,"""Shea (Spring)"""
name01#1,"""シー（スプリング）"""
text01001#0,"""Oh, you've come at such a good time!"""
11_voice_NPC_5134_100#0,"""So I'm in charge for ARKS related events!<br>I was wondering if you could assist me with <br>Shea's one big spectacular event?"""
11_voice_NPC_5134_104#0,"""How are you progressing?<br>I'll wait as long as I need to!"""
text03001#0,"""Phew, well done!<br>Everyone's got big smiles on their faces<br>thanks to all your hard work!"""
11_voice_NPC_5134_101#0,"""I'm starting to understand Mr Umbra too,<br>so no complaints from me!<br>Thank you so much!"""
text01001#1,"""ああっ、ちょうどいいところに！"""
11_voice_NPC_5134_100#1,"""アークスの催し物といえばこのわたし！<br>シー主催の一大イベントのために<br>ひとつ、協力してくれないかなっ？"""
11_voice_NPC_5134_104#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""はー、おつかれさまっ！<br>貴方の頑張りのおかげで<br>今回もみんな、笑顔笑顔、だよっ！"""
11_voice_NPC_5134_101#1,"""Ｍｒ．アンブラの事もわかってきたし<br>まさに、言うことなしだねっ！<br>本当にありがとうっ！"""
11_voice_NPC_5134_100#0,"""Thanks so much as usual! <br>I'd be most happy if you'll help me out<br>lots and lots more!"""
11_voice_NPC_5134_100#1,"""いつもいつも助かってるよっ！<br>これからもたくさん、たっくさん<br>助けてくれると嬉しいなっ！"""
11_voice_NPC_5134_100#0,"""Things always happen at events!<br>It's essential I do the right investigations and collecting intellegence!"""
text02022#0,"""So please! Help! I need you!"""
11_voice_NPC_5134_100#1,"""イベントにはハプニングがつきもの！<br>いろいろ調査や情報収集も<br>欠かせないものなのよねっ！"""
text02022#1,"""だからおねがいっ！　手伝ってっ！<br>貴方の力が必要なのっ！"""
