name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""สวัสดี<%me><br>ข้าเป็นเจ้าหน้าที่ชื่อ Cofy"""
text02#0,"""คุณได้รับการยินยอมให้สามารถทำภารกิจสำรวจ<br>Undersea บนดาว Wopal แล้วค่ะ"""
text03#0,"""เนื่องจากความสามารถของคุณ สูงกว่าที่กำหนดไว้<br>จึงไม่จำเป็นต้องผ่านการสอบ เพื่อรับใบอนุญาตค่ะ"""
text04#0,"""คุณสามารถดำเนินภารกิจสำรวจ<br>ได้ทุกเวลาที่ต้องการนะคะ"""
text05#0,"""มาแจ้งเท่านี้ล่ะค่ะ<br>แล้วพบกันใหม่นะคะ"""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""アークスによる<br>惑星ウォパルの海底の<br>調査が許可されました。"""
text03#1,"""貴方の実力ならば<br>探索許可申請試練の必要はないと<br>判断します。"""
text04#1,"""貴方の随意のタイミングで<br>調査や任務へと赴いてください。"""
text05#1,"""では、今後とも<br>よろしくお願いします。"""
