Title#0,"""【深遠なる闇】襲来"""
Explanation#0,"""復活した【深遠なる闇】が<br>惑星ナベリウス上空に襲来し<br>地上に向けての侵攻を開始した。<br><%me>は<br>不退転の覚悟で【深遠なる闇】との<br>戦いに臨む。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000制限時間の経過"""
StoryExplanation#0,"""復活した【深遠なる闇】が惑星ナベリウス上空に<br>襲来し、地上に向けての侵攻を開始した。<br><%me>は<br>不退転の覚悟で【深遠なる闇】との戦いに臨む。"""
SimpleExplanation#0,"""【深遠なる闇】の撃破"""
Area0S#0,"""惑星ナベリウス上空"""
Area0L#0,"""惑星ナベリウス上空\u3000揚陸艇"""
Area1S#0,"""壊世の果て"""
Area1L#0,"""壊世の果て"""
Area1S#1,"""帰還の場"""
Area1L#1,"""帰還の場"""
NpcComMsg1#0,"""間もなく、最前線へ転送されます。<br>目的はダークファルス【双子】を殲滅し<br>【深遠なる闇】への道を作ること。"""
NpcComMsg2#0,"""相手はダークファルス……その力の底は<br>計り知れません。どうか、気をつけて<br>無事に帰ってきてください。"""
NpcComMsg1#1,"""【深遠なる闇】への道は開かれました。<br>残る目的は、かの強大な目標を<br>打ち倒すことのみです。"""
NpcComMsg2#1,"""細かな指示や命令はありません。<br>敢然と戦い、必ず生還してください。<br>……絶対に、絶対ですよ。"""
