choice01#0,"""『ファントム』について"""
choice02#0,"""『ファントムロッド』について"""
choice03#0,"""『ファントムカタナ』について"""
choice04#0,"""『ファントムライフル』について"""
choice05#0,"""『ファントムマーカー』について"""
choice06#0,"""『ファントムタイム』について"""
choice_end#0,"""この場を離れる"""
Title#0,"""『ファントム』について"""
text0001#0,"""ファントムは多彩な攻撃と回避を両立させた<br>後継クラスです。<br><br>装備可能な武器は「ロッド」「カタナ」<br>「アサルトライフル」の３種類です。<br>今までのクラスで装備した時とは異なる<br>アクションの使用が可能です。<br><br><c ffff00>「ロッド」<c><br>ＰＡとテクニックを組み合わせた連携攻撃<br><c ffff00>「カタナ」<c><br>対単体に優れた、高機動、高威力攻撃<br><c ffff00>「アサルトライフル」<c><br>ビットとの連携による集中攻撃"""
text0002#0,"""ファントムにクラスチェンジする為には<br>専用のクライアントオーダーを<br>クリアする必要があります。<br><br>いずれか<c ffff00>２つのクラスを７５レベル<c>に<br>することで入手出来る称号を提示する<br>必要があります。"""
text0003#0,"""ファントムは今までのクラスとは<br>異なる点があります。<br><br>・サブクラスを設定できない<br>（クエストの受注条件にサブクラスの<br>\u3000レベル制限がある場合はメインクラスの<br>\u3000レベルを参照します）<br><br>・一部の潜在能力、スキルリングの効果が無効<br>（例：戦技昂魂、Ｒ／アタックアドバンス等）<br><br>・専用のレベル上限解放オーダーが発生<br>・サポートパートナーは<br>\u3000ファントムにクラス変更できません"""
Title#1,"""『ファントムロッド』について"""
text0001#1,"""ファントムが装備したロッド<br>「ファントムロッド」について説明します。<br><br>ファントムロッドは、広い攻撃範囲と<br>テクニックとの連携攻撃が特徴です。<br><br>ファントムロッドのＰＡには<br>ＰＡボタンを長押しすることで<br>追加アクションが発生するものや、<br>テクニックへと連携して攻撃できる<br>ものが存在します。"""
text0002#1,"""「ファントムロッド」は武器アクションで<br>「フォトン弾」を放ち、遠距離から<br>攻撃をしつつPP回復を行えます。<br><br>また、武器アクションをチャージすると<br>範囲攻撃に変化し、エネミーの集団に対して<br>特に強力となります。"""
text0003#1,"""ファントムの武器は武器アクション中に<br>ＰＡを使用することで、通常ＰＡとは違う<br>「シフトＰＡ」を発動することができます。<br><br>通常とは性能の違う攻撃になるので、<br>状況に応じて使い分けましょう。<br><br><c ffff00>※チャージした武器アクションからは<br>\u3000シフトＰＡは発動しません。<c>"""
text0004#0,"""テクニックアタック<br><br>「ファントムロッド」を装備中に<br>テクニックを使うと、自動的に専用の<br>追加攻撃、「テクニックアタック」を行います。<br><br>使用したテクニックによって、<br>遠距離攻撃を行うものと、<br>近距離攻撃を行うものに分かれます。<br><br>テクニックアタックは<br>ＰＰを回復することができます。<br><c ffff00>※一部のテクニックでは、テクニックアタック<br>\u3000が発生しないものもあります。<c>"""
Title#2,"""『ファントムカタナ』について"""
text0001#2,"""ファントムが装備したカタナ、<br>「ファントムカタナ」<br>について説明します。<br><br>ファントムカタナは高い機動力を持ち、<br>ＰＡには敵単体に対して威力を発揮するものが<br>多く存在します。<br>ＰＡ同士の連携攻撃によるコンボを<br>活用することで、より強力に立ち回ることが<br>できるでしょう。"""
text0002#2,"""「ファントムカタナ」は<br>武器アクションで、回避をしながら<br>斬撃を放つ、攻防一体の戦闘を行えます。<br><br><c ffff00>※チャージした武器アクションからは<br>\u3000シフトＰＡは発動しません。<c>"""
text0003#2,"""ファントムの武器は武器アクション中に<br>ＰＡを使用することで、通常とは違う<br>「シフトＰＡ」を発動することができます。<br><br>通常とは性能の違う攻撃になるので、<br>状況に応じて使い分けましょう。"""
Title#3,"""『ファントムライフル』について"""
text0001#3,"""ファントムが装備したアサルトライフル<br>「ファントムライフル」について説明します。<br><br>ファントムライフルは、ボタンの長押しに<br>よってＰＡの攻撃タイミングを調整し、<br>柔軟な戦闘に対応できる武器です。<br><br>ファントムライフルのＰＡには<br>ビットを呼び出し、時間差で自動攻撃を<br>行わせるものがあり、ビットとの<br>連携攻撃を活かすことが重要になっています。"""
text0002#3,"""「ファントムライフル」は<br>武器アクションで「ファントムビット」を放ち、<br>遠距離から射撃攻撃を行えます。<br><br>また、武器アクションをチャージすることにより、<br>強力な貫通ショットを放つことができます。"""
text0003#3,"""ファントムの武器は武器アクション中に<br>ＰＡを使用することで、通常とは違う<br>「シフトＰＡ」を発動することができます<br><br>通常とは性能の違う攻撃になるので、<br>状況に応じて使い分けましょう。<br><br><c ffff00>※チャージした武器アクションからは<br>\u3000シフトＰＡは発動しません。<c>"""
Title#4,"""『ファントムマーカー』について"""
text0001#4,"""「ファントムマーカー」は、クラススキルの<br>「ファントムマーカー」を習得していると<br>自動的に発動するクラススキルです。<br><br>エネミーに対して攻撃し続けるとそのエネミーに<br>マーカーが付与され、さらに攻撃を続けることで<br>マーカーのレベルが１段階上昇します。<br><br><c ffff00>※一定時間の経過により、マーカーの表示は<br>\u3000消えますがマーカー自体の判定は<br>\u3000残っています。攻撃を当てることで<br>\u3000マーカーの表示も再び行われます。<c>"""
text0002#4,"""マーカーが付与された状態で<br>各武器のチャージ武器アクションを<br>エネミーに当てることで、強力な追撃が<br>発生します。<br><br>高いダメージを与えられる他<br>ＰＰを大きく回復することが可能です。<br><br>ファントムマーカーを連携に組み入れる<br>ことでより効果的な攻撃が行えるでしょう。<br><br><c ffff00>※追撃は、起爆攻撃を<br>\u3000\u3000当てた箇所で発生します。<br>\u3000\u3000マーカーの場所ではないので注意しましょう。<c>"""
Title#5,"""『ファントムタイム』について"""
text0001#5,"""スキル「ファントムタイム」を習得すると、<br>ファントム武器共通の<br>「ファントムギア」が追加され、<br>さらに「ファントムタイム」と呼ばれる<br>特殊アクションが使用可能となります。<br><br>ギアは敵を攻撃することで増加します。<br>ギアゲージを５０％以上溜めると<br>「ファントムタイム」を使用することができ、<br>以下の効果が得られます。<br><br><c ffff00>・ファントムタイム発動から５秒間無敵状態<br>・ステップでの無敵時間が大幅に延長<br>・消費ＰＰ２０％減少<c>"""
