msc_013320_0010#0,"""やりましたね、みなさん！"""
msc_013320_0020#0,"""素晴らしいチームプレーだ！"""
msc_013320_0030#0,"""よし、早いところ情報を入手して、戻ろう。"""
msc_013320_0040#0,"""思った通りだ……。<br>ここにはダークファルスに関する情報が保存されてる。"""
msc_013320_0050#0,"""え……!?"""
msc_013320_0060#0,"""これがあれば……、<br>ダークファルスを倒せる可能性が格段に上がるはず。"""
msc_013320_0070#0,"""ん？\u3000これは……？"""
msc_013320_0080#0,"""おじいちゃん……!?"""
msc_013330_0010#0,"""……このファイルを見つけたのは、<br>おそらくワシの孫たちだろう。"""
msc_013330_0020#0,"""お前たちに、伝えておきたいことがある。"""
msc_013330_0030#0,"""ロストセントラルに残されたデータを調査した結果、<br>かつてこの地で暴れたダークファルスは……。"""
msc_013330_0040#0,"""まだ成長段階だったことがわかった。<br>不安定で真の力を出すことはできなかったようだ。"""
msc_013330_0050#0,"""ワシは遠くない将来、再びダークファルスが現れ、<br>完全体にまで成長するのではないかとみている。"""
msc_013330_0060#0,"""役に立つか定かではないがロストセントラルを襲った<br>ダークファルスの戦闘データを残しておいた。"""
msc_013330_0070#0,"""これを基に、ダークファルスを倒すための方法を見つけて欲しい。"""
msc_013330_0080#0,"""タイヴァス、トゥーリ、イルマ、クッカ、メリ。<br>親代わりとして途中までしか面倒を見る事ができず……。"""
msc_013330_0090#0,"""すまない。許してくれ。"""
msc_013330_0100#0,"""お前たちが立派に成長することを望んでいるよ。<br>五人が力を合わせれば、誰にも負けない強いリーダーになれる。"""
msc_013330_0110#0,"""いつまでも仲良くな。"""
msc_013330_0120#0,"""じいちゃん……。"""
msc_013330_0130#0,"""おじいちゃん、ありがとう。"""
msc_013330_0140#0,"""おじいちゃん、大丈夫よ。<br>わたしたち、しっかりやるから。"""
name01#0,"""ライサス"""
