un_047020_0010#0,"""おお、<%me>！<br>ちょうど戻ってきたところか？"""
un_047020_0020#0,"""私たちもちょうど今<br>会議が終わったところだ！<br>一緒だな、一緒！"""
un_047020_0030#0,"""一緒、じゃないわよ。<br>こっちはすっごく長引いた結果でしょ。<br>会議は踊るとはよくいったものね、まったく。"""
un_047020_0040#0,"""サラが私の提案に異議をとなえなければ<br>すんなり終わってたと思うぞ？"""
un_047020_0050#0,"""あんなムチャクチャな案通せるかっての。<br>あたしがマリアに怒られちゃうわ。"""
un_047020_0060#0,"""武装制限の撤廃と、強力な武装の一斉供給。<br>……悪くないと思うんだがなあ。"""
un_047020_0070#0,"""みんなの身体がついてこれないわよ。<br>それに、その分の資材はどこから調達する気？"""
un_047020_0080#0,"""あんた、自分基準で物事を考えるの<br>いい加減やめなさい。"""
un_047020_0090#0,"""まあまあ二人とも<br>過ぎた話を言っても仕方がないぞ！"""
un_047020_0100#0,"""騒がしくてすまないな。<br>各部代表者が集っての会議終わりなんだ。"""
un_047020_0110#0,"""知ってるとは思うが<br>なんと、オレが戦闘部の司令になっている！"""
un_047020_0120#0,"""私がその次席になってしまったぞ！<br>はっはっは！"""
un_047020_0130#0,"""つくづく、危ない人選よね……<br>まあ、そっちはやること単純な部署だし<br>別にいいけどさ。"""
un_047020_0140#0,"""あたしのいる総務部は<br>言ってしまえば雑用係よ、雑用係。<br>資材の管理とか、そういうのの統括。"""
un_047020_0150#0,"""レギアスが教導部を望み、姐さんが<br>総務部の司令になったわけだが……<br>決まったときの姐さんの顔は見物だったな。"""
un_047020_0160#0,"""おかげさまで、ほとんど全部の仕事が<br>あたしに回ってきて、こっちは大迷惑よ。"""
un_047020_0170#0,"""さーて二人とも！<br>のんびりするのはここまでだ！<br>各部に戻って報告まとめるぞー！"""
un_047020_0180#0,"""おー！<br><%me>！<br>今度いっしょに出撃しような！"""
un_047020_0190#0,"""あたしも戻るわ。<br>それじゃあね、<%me>。"""
