a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""エリア１\u3000艦隊交戦区域"""
Area0L#0,"""エリア１\u3000艦隊交戦区域"""
QuestInfoAreaName#0,"""艦隊交戦区域"""
Title#0,"""T:特別突破訓練：Episode6"""
Explanation#0,"""本任務は、ＶＲ空間にて行う<br>艦隊交戦区域上に出現した敵艦への<br>急襲を想定した訓練である。<br>より過酷な戦況を想定し<br>少人数での任務遂行を求める。<br>各員の能力を最大限引き出し、突破せよ。<br>―――――――――――――――――――<br>最深部に出現するエネミーの撃破でクリア"""
NpcComMsg1#0,"""これより、最終区域に転送します。<br>味方艦上の敵を撃破しつつ、接舷した<br>敵艦に乗り込み、制圧してください。"""
NpcComMsg2#0,"""設置された敵砲台を破壊することで<br>その座標に、支援兵器を転送します。<br>戦況を有利に導けますよ！"""
NpcComMsg3#0,"""総力戦を想定した訓練のため<br>最後まで難敵ぞろいになっています。<br>全力でがんばってください！"""
NpcComMsg1#1,"""\\これより急襲作戦を開始します。<br>本艦は既に敵旗艦へ進撃中です。"""
NpcComMsg2#1,"""\\総力戦を想定した訓練となり、<br>敵性兵器を破壊することで<br>こちらからの支援も可能になります！"""
NpcComMsg3#1,"""\\協力して作戦に当りましょう。<br>では、頑張ってください！"""
SimpleExplanation#0,"""敵主力艦隊を鎮圧せよ！"""
