Title#0,"""艦内潜入：敵大型戦艦"""
Explanation#0,"""オラクル船団警戒範囲外の宙域にて<br>艦隊編成前と思しき大型の敵艦を発見した。<br>この敵艦に対し、艦隊編成の妨害を<br>目的とした潜入工作を行う。作戦目標は<br>敵艦内の最奥にある動力炉の破壊である。<br>敵の妨害をかいくぐり、任務を遂行せよ。<br>――――――――――――――――――――<br>最深部に出現するエネミーの撃破でクリア<br>全員累計１５回戦闘不能でクエスト終了"""
Target_Success#0,"""作戦終了！"""
SimpleExplanation#0,"""最深部を目指せ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
TargetExplanation#0,"""クエスト目標「最深部を目指せ！」<br><br><c f0df60>全員で合計 <c ff2020>15回戦闘不能<c f0df60> になるとクエスト終了<c>"""
NpcComMsg1#0,"""これより、捕捉中の<br>敵大型戦艦内部への<br>潜入作戦を開始します。"""
NpcComMsg2#0,"""戦闘機にて、敵艦内に潜入後<br>監視システムに注意しつつ<br>最奥の動力炉を目指してください。"""
NpcComMsg3#0,"""動力炉を破壊後、速やかに脱出し<br>帰還をお願いします。<br>どうか、お気をつけて！"""
Area0S#0,"""敵戦艦近傍\u3000格納庫"""
Area0L#0,"""敵戦艦近傍\u3000格納庫"""
Area1S#0,"""敵戦艦内部\u3000中枢付近"""
Area1L#0,"""敵戦艦内部\u3000中枢付近"""
Area2S#0,"""敵戦艦内部\u3000中枢部"""
Area2L#0,"""敵戦艦内部\u3000中枢部"""
Area3S#0,"""敵戦艦近傍\u3000格納庫"""
Area3L#0,"""敵戦艦近傍\u3000格納庫"""
QuestInfoAreaName#0,"""敵戦艦内部"""
