11_voice_NPC_5569_100#0,"""リリーン！<br>アフタル、よそ見ばかりしてると<br>ぶつかっちゃうよ！"""
text01002#0,"""<%me>からも<br>アフタルに注意しておくれよ。<br>ものめずらしいのはわかるけどさ……"""
text01003#0,"""きょとんとして、どうしたんだい？<br>ボクだよ、リーンだよ！"""
text01004#0,"""着ぐるみだと思ったのかい？<br>リーン！\u3000たしかに、ここには<br>いろんな姿のアークスがいるからね！"""
text01005#0,"""そう言えば……<br>ジェネが話をしたがっていたよ。<br>ちょっと、聞いてあげておくれよ。"""
11_voice_NPC_5569_105#0,"""ボクと話をした後、みんな必ず<br>ボクの頭をなでていくんだよ……<br>おかげで毛並みがボサボサさ。"""
text02002#0,"""「おさわり禁止」って看板を<br>持っといたほうがいいのかな？<br>リンリリーン……"""
11_voice_NPC_5569_100#1,"""リンリーン！<br>アークスシップは刺激がいっぱいだね。<br>好奇心がそそられるよ！"""
text04001#0,"""うんうん、キミのおかげで<br>アフタルもすごく楽しんでいるよ！<br>ありがとう！\u3000リンリリーン！！"""
text04002#0,"""笑顔のアフタルは、ひさしぶりだ。<br>ここはいいところだね。<br>本当に興味が尽きないよ！\u3000リンリン！"""
11_voice_NPC_5569_104#0,"""あ、そうだ。<br>アフタルが質問があるみたいなんだ。<br>話を聞いてあげておくれよ。"""
