Title#0,"""ファイターの基礎"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：ツインダガーのギア訓練<br>課題２：ダブルセイバーのギア訓練<br>課題３：ナックルのギア訓練<br>課題４：ブレイブスタンスの使用<br>課題５：ワイズスタンスの使用<br>課題６：実戦訓練"""
SimpleExplanation#0,"""６つの課題を達成せよ"""
Training1#0,"""ギアをためてフォトンアーツ発動"""
Training2#0,"""ギアをためてかまいたち発動"""
Training3#0,"""ギアを最大までためる"""
Training4#0,"""ブレイブスタンスで敵を撃破"""
Training5#0,"""ワイズスタンスで敵を撃破"""
Training6#0,"""敵の殲滅"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
Retry_6#0,"""課題６"""
